TrackID_1,TrackID_2,TrackID_3,TrackID_4,TrackID_5,TrackID_6,TrackID_7,TrackID_8,TrackID_9,TrackID_10,TrackID_11,Loc_start_time,Loc_end_time,Loc_beam_time,Loc_m_1,Loc_m_2,Loc_m_min_1,Loc_m_min_2,Loc_m_max_1,Loc_m_max_2,Loc_LatLong_1,Loc_LatLong_2,Loc_m_dilated_1,Loc_m_dilated_2,Loc_m_dilated_min_1,Loc_m_dilated_min_2,Loc_m_dilated_max_1,Loc_m_dilated_max_2,Loc_LatLong_dilated_1,Loc_LatLong_dilated_2,distance_m,distance_m_minmax_1,distance_m_minmax_2,distance_m_dilated,distance_m_dilated_minmax_1,distance_m_dilated_minmax_2
19,20,29,,,,,,,,,29-Aug-2023 00:39:25,29-Aug-2023 00:49:45,14-Jul-1916 00:00:00,20287.0876676552,2337.63428563946,20220.4415750804,2086.32113766564,20356.2970714829,2598.61332391996,25.5756684631151,-162.762776173888,20094.7850010935,2119.64418395305,20005.0691072428,1781.33802321906,20192.1908287028,2486.94801560709,25.5737006251307,-162.76468974519,7460,7200,7730,7200,6850,7580
34,37,38,65,81,,,,,,,29-Aug-2023 00:56:31,29-Aug-2023 01:24:04,29-Aug-2023 01:10:33,25302.7748444946,2135.19381515827,25259.1985531957,1970.87367994462,25351.4777582993,2318.84573098529,25.5738409946002,-162.712865919335,25540.8436513369,2330.70147027361,25484.4508037736,2118.05188352653,25597.2364989002,2543.35105702068,25.5756058792761,-162.710496936915,8550,8380,8740,8800,8580,9020
42,46,53,56,70,,,,,,,29-Aug-2023 01:09:04,27-Apr-4047 02:19:01,29-Aug-2023 01:12:46,25473.5083547656,-693.065378846157,25429.9320634667,-857.385514059806,25517.0846460645,-528.745243632507,25.5483097625468,-162.711166979059,25564.2393881883,-624.015544856131,25518.0997856365,-798.001570376466,25610.3789907401,-450.029519335796,25.5489330884918,-162.710264129895,5860,5690,6030,5950,5770,6130
43,52,57,60,62,69,72,87,101,,,29-Aug-2023 01:09:05,29-Aug-2023 01:28:28,29-Aug-2023 01:14:00,27156.1677193671,2492.03390731731,27097.2115605509,2269.71843026355,27220.250500689,2733.68116498444,25.577062257778,-162.694423120391,27026.0262001751,2040.30037415598,26961.9434188532,1798.65311648885,27100.3622265086,2320.61119304985,25.5729843735141,-162.695718136631,9370,9140,9620,8900,8650,9190
64,73,77,83,,,,,,,,29-Aug-2023 01:17:30,29-Aug-2023 01:24:31,29-Aug-2023 01:17:30,27078.3618874006,1457.41018223074,27004.0258610672,1177.09936333687,27157.8245362398,1757.05278173799,25.567722513221,-162.695197353062,27156.8093966678,2026.30910848195,27056.8402578056,1649.33938652122,27254.2152242771,2393.61294013599,25.5728580717058,-162.694416735169,8350,8060,8660,8920,8530,9300
67,78,79,85,93,107,,,,,,29-Aug-2023 01:19:56,29-Aug-2023 01:29:48,14-Jul-1916 00:00:00,27509.6975757307,236.038197955374,27463.557973179,62.0521724350392,27560.9638007883,429.35600408908,25.556696956716,-162.6909052046,27544.3039766196,-569.754825728448,27487.9111290563,-782.404412475524,27605.8234466887,-337.773458368001,25.5494229102926,-162.690560842159,7280,7100,7480,6510,6290,6750
50,106,112,115,121,,,,,,,29-Aug-2023 01:10:52,29-Aug-2023 01:33:27,29-Aug-2023 01:23:26,29252.5998517,839.438277853727,29191.0803816309,607.456910493281,29316.6826330219,1081.08553552086,25.5621439636571,-162.673561878912,29356.8434412837,-15.8589067731691,29300.4505937204,-228.508493520246,29415.7996000999,206.456570280592,25.5544230337856,-162.672524568588,8310,8070,8560,7510,7290,7740
59,76,131,136,,,,,,,,29-Aug-2023 01:14:36,29-Aug-2023 01:38:13,29-Aug-2023 01:26:00,29971.8276474908,586.631280794938,29943.6312237091,480.3064874214,30000.0240712724,692.956074168476,25.5598618269561,-162.666404964794,30009.9038540127,535.151163303811,29968.8908739667,380.496918396846,30053.4801453116,699.47129851746,25.5593971061736,-162.666026074904,8250,8140,8360,8210,8050,8380
68,100,123,141,,,,,,,,29-Aug-2023 01:19:55,29-Aug-2023 01:38:53,29-Aug-2023 01:30:10,31313.0369813007,65.4235267265157,31264.3340674961,-118.228389100505,31359.1765838525,239.409552246851,25.555156785726,-162.653058817616,31344.5979634737,67.3994832745684,31285.6418046575,-154.915993779193,31403.5541222898,289.714960328331,25.5551746230605,-162.652744759622,8090,7900,8270,8100,7870,8330
75,91,119,159,,,,,,,,29-Aug-2023 01:21:54,29-Aug-2023 01:40:31,29-Aug-2023 01:31:20,31442.540221142,-889.683226924935,31388.7106848316,-1092.66692336533,31498.9330687053,-677.03364017786,25.5465348559485,-162.651770152785,31487.1316520129,-994.619418455244,31410.2323144266,-1284.5961276558,31576.8475458636,-656.313257721259,25.545587577049,-162.651326431001,7200,6990,7420,7110,6810,7460
