TrackID_1,TrackID_2,TrackID_3,TrackID_4,Loc_start_time,Loc_end_time,Loc_beam_time,Loc_m_1,Loc_m_2,Loc_m_min_1,Loc_m_min_2,Loc_m_max_1,Loc_m_max_2,Loc_LatLong_1,Loc_LatLong_2,Loc_m_dilated_1,Loc_m_dilated_2,Loc_m_dilated_min_1,Loc_m_dilated_min_2,Loc_m_dilated_max_1,Loc_m_dilated_max_2,Loc_LatLong_dilated_1,Loc_LatLong_dilated_2,distance_m,distance_m_minmax_1,distance_m_minmax_2,distance_m_dilated,distance_m_dilated_minmax_1,distance_m_dilated_minmax_2
7,12,,,25-Sep-2023 23:16:33,25-Sep-2023 23:21:07,14-Jul-1916 00:00:00,12108.2799628012,3508.85429388269,11736.7659367617,2667.20274576083,12584.7870831562,4588.3638882129,26.1485232665866,-174.854705537433,12555.6246333333,4076.5538145329,12026.6209658206,2878.11519709851,13080.5901049109,5265.84404557466,26.1536475967713,-174.850233000772,8100,7180,9280,8800,7490,10100
8,9,11,22,25-Sep-2023 23:17:32,25-Sep-2023 23:27:17,14-Jul-1916 00:00:00,10892.1793716571,1793.89092628002,10803.3390610824,1592.62642564219,10993.1342700374,2022.60058609575,26.1330431785634,-174.866864069401,10918.3027541592,1902.59956846936,10728.5075452042,1472.6254080158,11095.9833753085,2305.12856974504,26.1340244352956,-174.866602888719,6040,5820,6290,6150,5680,6590
15,20,,,25-Sep-2023 23:21:03,25-Sep-2023 23:25:18,14-Jul-1916 00:00:00,12173.1720643485,2343.39772448305,11866.2691732724,1648.12035864325,12564.877070064,3230.79120456806,26.1380032924447,-174.854056748429,12498.871292517,2833.62217590341,12002.173192486,1708.37064961005,12987.4930006777,3940.57692941151,26.1424282952188,-174.850800418725,7060,6300,8030,7640,6410,8850
18,19,23,,25-Sep-2023 23:22:59,25-Sep-2023 23:38:43,25-Sep-2023 23:32:47,11030.6123968371,-344.08388590545,11010.4214171611,-389.825817868595,11054.8415724484,-289.193567549677,26.1137447848431,-174.865480020766,11003.9894500278,-255.816005545777,10935.3401191292,-411.338574220469,11064.562389056,-118.590209656343,26.1145415333821,-174.865746196075,4140,4090,4200,4210,4040,4360
24,25,,,25-Sep-2023 23:53:59,26-Sep-2023 00:05:21,25-Sep-2023 23:58:46,17377.5526146153,-3943.64634153117,17333.1324593279,-4044.27859185009,17426.0109658378,-3833.86570481962,26.0812533948166,-174.802023530327,17507.0246666957,-3749.38623824155,17337.4204374168,-4133.61846673196,17595.8649772703,-3548.12173760371,26.0830068803751,-174.800729073194,3410,3300,3530,3640,3220,3860
