TrackID_1,TrackID_2,TrackID_3,Loc_start_time,Loc_end_time,Loc_beam_time,Loc_m_1,Loc_m_2,Loc_m_min_1,Loc_m_min_2,Loc_m_max_1,Loc_m_max_2,Loc_LatLong_1,Loc_LatLong_2,Loc_m_dilated_1,Loc_m_dilated_2,Loc_m_dilated_min_1,Loc_m_dilated_min_2,Loc_m_dilated_max_1,Loc_m_dilated_max_2,Loc_LatLong_dilated_1,Loc_LatLong_dilated_2,distance_m,distance_m_minmax_1,distance_m_minmax_2,distance_m_dilated,distance_m_dilated_minmax_1,distance_m_dilated_minmax_2
1,2,3,10-Nov-2023 21:30:43,10-Nov-2023 21:33:35,10-Nov-2023 21:32:00,1127.78048870877,3559.21446747555,1032.20040271099,3201.77293776662,1249.19303038163,4013.26181602472,19.814478123698,-162.461374469002,1080.71602408414,3499.34013098989,977.386201383835,3112.91685562889,1212.46154802703,3992.02980707517,19.8139372336355,-162.461823592608,3730,3360,4200,3660,3260,4170
4,5,,10-Nov-2023 21:36:46,10-Nov-2023 21:42:24,10-Nov-2023 21:42:21,3944.81444395415,3758.26143428131,3864.73383136141,3458.78339587654,4037.81128438442,4106.04238210621,19.8162762651497,-162.434492266901,3975.81339076424,3874.18841688961,3849.23435795636,3400.81990457239,4104.97566913962,4357.21751109086,19.8173235210619,-162.434196452237,4650,4340,5010,4770,4280,5270
6,7,,10-Nov-2023 21:45:10,10-Nov-2023 21:46:55,10-Nov-2023 21:46:34,4116.71841883975,-128.054176090359,4108.96868213722,-157.035921742434,4121.88490997476,-108.733012322308,19.7811682436342,-162.432851833215,4124.46815554227,-99.0724304382835,4098.63569986719,-195.678249278534,4139.96762894731,-41.1089391341334,19.7814300576123,-162.432777879549,940,910,960,970,870,1030
