TrackID_1,TrackID_2,TrackID_3,TrackID_4,TrackID_5,TrackID_6,TrackID_7,TrackID_8,Loc_start_time,Loc_end_time,Loc_beam_time,Loc_m_1,Loc_m_2,Loc_m_min_1,Loc_m_min_2,Loc_m_max_1,Loc_m_max_2,Loc_LatLong_1,Loc_LatLong_2,Loc_m_dilated_1,Loc_m_dilated_2,Loc_m_dilated_min_1,Loc_m_dilated_min_2,Loc_m_dilated_max_1,Loc_m_dilated_max_2,Loc_LatLong_dilated_1,Loc_LatLong_dilated_2,distance_m,distance_m_minmax_1,distance_m_minmax_2,distance_m_dilated,distance_m_dilated_minmax_1,distance_m_dilated_minmax_2
17,19,,,,,,,02-Oct-2023 17:05:49,02-Oct-2023 17:15:18,02-Oct-2023 17:15:18,8645.29772703265,4631.74066563912,8541.56759101085,4276.57864784879,8760.24193181357,5025.29857724462,22.1884045249751,-161.97339587843,8803.90978496556,5210.48259005646,8534.77213474684,4288.98113849236,8958.10323040338,5738.42613001506,22.193631273306,-161.971858305301,6870,6500,7280,7470,6510,8020
1,3,4,5,7,10,12,16,02-Oct-2023 16:51:28,02-Oct-2023 17:03:09,02-Oct-2023 16:56:21,2015.17691215061,2119.76973028421,2006.76636058127,2090.97280992283,2023.58746371994,2148.56665064559,22.1657183511561,-162.037667761301,1972.2708074622,1830.18543136511,1958.25322151331,1782.19056409614,1986.2883934111,1878.18029863407,22.1631030502989,-162.038083689791,2600,2570,2630,2310,2260,2360
2,9,11,13,15,,,,02-Oct-2023 16:55:14,02-Oct-2023 17:03:04,02-Oct-2023 16:55:14,1916.99353060003,2711.00574372325,1900.17242746136,2653.4119030005,1933.8146337387,2768.59958444601,22.1710579364117,-162.038619543475,1925.7391572121,2562.60252942126,1847.2406758983,2293.83127271507,1990.220052577,2783.3789188585,22.1697176736453,-162.038534764041,3140,3080,3200,3000,2720,3230
6,14,,,,,,,02-Oct-2023 16:58:11,02-Oct-2023 17:01:39,14-Jul-1916 00:00:00,2265.02501708362,2796.87823300839,2192.13357014938,2547.30492320978,2351.93404996675,3094.44641007596,22.1718334701533,-162.035245752927,2365.95163591564,3142.44127734493,2225.77577642672,2662.49260465529,2475.28880631699,3516.80124204284,22.1749543276357,-162.034267378022,3320,3060,3630,3680,3180,4070
