TrackID_1,TrackID_2,TrackID_3,TrackID_4,TrackID_5,TrackID_6,TrackID_7,TrackID_8,TrackID_9,TrackID_10,TrackID_11,TrackID_12,TrackID_13,TrackID_14,TrackID_15,TrackID_16,TrackID_17,Loc_start_time,Loc_end_time,Loc_beam_time,Loc_m_1,Loc_m_2,Loc_m_min_1,Loc_m_min_2,Loc_m_max_1,Loc_m_max_2,Loc_LatLong_1,Loc_LatLong_2,Loc_m_dilated_1,Loc_m_dilated_2,Loc_m_dilated_min_1,Loc_m_dilated_min_2,Loc_m_dilated_max_1,Loc_m_dilated_max_2,Loc_LatLong_dilated_1,Loc_LatLong_dilated_2,distance_m,distance_m_minmax_1,distance_m_minmax_2,distance_m_dilated,distance_m_dilated_minmax_1,distance_m_dilated_minmax_2
13,14,20,,,,,,,,,,,,,,,18-Nov-2023 21:10:33,18-Nov-2023 21:15:35,14-Jul-1916 00:00:00,9982.80364591176,4351.29443248364,9822.64063590087,3762.69625866363,10179.7253795317,5074.98071177053,24.3903367558918,-157.965945415593,10005.5153149697,4510.93208496137,9842.72668184387,3912.68476075087,10199.8114254747,5224.96921385778,24.3917780706313,-157.965721601642,6820,6210,7570,6980,6360,7720
16,22,24,,,,,,,,,,,,,,,18-Nov-2023 21:11:36,18-Nov-2023 21:17:32,14-Jul-1916 00:00:00,10308.3158975316,7185.25663654448,9953.85677701571,5882.62133382806,10429.0945608185,7629.11755450711,24.4159236486614,-157.962737629198,10429.225754633,7401.08250722669,10024.8797949333,5915.11334709093,10486.9894631615,7613.36381581751,24.4178722679486,-157.961546113386,9640,8290,10100,9880,8340,10100
12,23,25,26,30,32,35,37,39,,,,,,,,,18-Nov-2023 21:09:49,07-Oct-4047 18:47:59,14-Jul-1916 00:00:00,10705.0467932399,6662.7582189483,10592.1449992978,6247.84475215714,10831.0767027567,7125.91743769191,24.4112061859641,-157.958828013005,10845.5823533829,4779.79519319997,10761.562413705,4471.02238070423,10934.8535392906,5107.8663064767,24.3942055453204,-157.957443094141,9240,8810,9720,7460,7140,7800
27,29,33,36,40,41,42,43,44,45,46,48,49,50,51,52,53,18-Nov-2023 21:18:56,18-Nov-2023 21:40:23,18-Nov-2023 21:30:42,18268.2734329717,2998.37521548766,18231.5147093626,2863.28711002077,18307.6577796957,3143.11247134504,24.3781217027475,-157.884295594032,18289.2784178912,3075.56841861159,18189.5047395237,2708.9007037729,18381.1752269138,3413.28868227881,24.3788186542482,-157.884088598736,7690,7550,7840,7770,7390,8120
38,47,,,,,,,,,,,,,,,,18-Nov-2023 21:23:49,18-Nov-2023 21:30:05,18-Nov-2023 21:26:39,15517.7384673221,-1434.98213563336,15488.8566130578,-1541.12278992877,15543.9946984714,-1338.49063172844,24.3380944084561,-157.911400959801,15600.9706618379,-1281.44907145472,15509.0738528152,-1619.16933512194,15645.6062547917,-1117.41351481636,24.3394806069185,-157.910580741514,2690,2580,2790,2860,2510,3030
