TrackID_1,TrackID_2,TrackID_3,TrackID_4,Loc_start_time,Loc_end_time,Loc_beam_time,Loc_m_1,Loc_m_2,Loc_m_min_1,Loc_m_min_2,Loc_m_max_1,Loc_m_max_2,Loc_LatLong_1,Loc_LatLong_2,Loc_m_dilated_1,Loc_m_dilated_2,Loc_m_dilated_min_1,Loc_m_dilated_min_2,Loc_m_dilated_max_1,Loc_m_dilated_max_2,Loc_LatLong_dilated_1,Loc_LatLong_dilated_2,distance_m,distance_m_minmax_1,distance_m_minmax_2,distance_m_dilated,distance_m_dilated_minmax_1,distance_m_dilated_minmax_2
4,9,11,,20-Nov-2023 17:12:33,20-Nov-2023 17:29:34,20-Nov-2023 17:19:32,4824.28114850286,5253.98281413945,4783.40790408619,5109.65894954716,4865.15439291952,5398.30667873175,16.4631019472083,-155.384297880764,4937.61729321576,5544.07748541353,4760.49990074354,4918.67407218025,5024.81354797131,5851.96839654377,16.4657235147977,-155.383236798023,6370,6220,6520,6680,6030,7000
8,10,12,19,20-Nov-2023 17:24:30,20-Nov-2023 17:41:08,20-Nov-2023 17:34:13,8846.51824644852,3345.76146222306,8805.64500203186,3201.43759763076,8890.1163738263,3499.70691778818,16.4458574689571,-155.346640641079,9064.24494977295,3637.47207680449,8998.84775870629,3406.55389345681,9118.74260899518,3829.90389626088,16.4484936397261,-155.344602226522,5630,5480,5790,5970,5730,6170
14,18,20,21,20-Nov-2023 17:37:44,20-Nov-2023 17:47:51,20-Nov-2023 17:43:09,11330.9167320504,1769.13082547289,11306.3927854004,1682.53650671752,11358.1655616615,1865.34673520109,16.4316095554755,-155.323381050217,11285.7026613652,1719.57592851931,11228.4801191819,1517.52251809009,11356.5496183541,1969.73729381262,16.4311617309389,-155.323804356217,4790,4700,4890,4730,4520,4990
16,25,,,20-Nov-2023 17:39:54,20-Nov-2023 17:48:50,20-Nov-2023 17:45:43,12289.2628701928,2547.44482348881,12240.2149768928,2374.25618597805,12338.3107634928,2720.63346099957,16.4386431309032,-155.314408762074,12387.3586567928,2893.82209851032,12202.0666154372,2239.55391235858,12477.2797945094,3211.33460061337,16.4417733208992,-155.313490363566,5800,5620,5980,6160,5480,6490
16,25,,,20-Nov-2023 17:39:54,20-Nov-2023 17:48:50,20-Nov-2023 17:45:43,12289.2628701928,2547.44482348881,12240.2149768928,2374.25618597805,12338.3107634928,2720.63346099957,16.4386431309032,-155.314408762074,12387.3586567928,2893.82209851032,12202.0666154372,2239.55391235858,12477.2797945094,3211.33460061337,16.4417733208992,-155.313490363566,5800,5620,5980,6160,5480,6490
15,26,,,20-Nov-2023 17:39:43,20-Nov-2023 17:48:51,20-Nov-2023 17:46:16,11799.9669457178,305.952129257527,11783.6176479512,248.222583420609,11819.0411264456,373.303266067266,16.4183869001587,-155.318989678975,11850.4617811073,447.551110888713,11736.0166967407,43.4442900302824,11896.7847914462,611.118157426649,16.4196665213917,-155.31851693307,3510,3450,3580,3660,3240,3830
24,35,,,20-Nov-2023 17:48:25,20-Nov-2023 17:55:36,20-Nov-2023 17:53:32,14128.317892269,270.148921376737,14103.793945619,183.554602621359,14152.841838919,356.743240132115,16.4180633487851,-155.297191046142,14174.6409026078,433.715967914672,14065.6455841634,48.8523290018819,14229.1385618301,626.147787371068,16.419541494061,-155.296757357958,4110,4020,4200,4280,3880,4480
