TrackID_1,TrackID_2,TrackID_3,TrackID_4,Loc_start_time,Loc_end_time,Loc_beam_time,Loc_m_1,Loc_m_2,Loc_m_min_1,Loc_m_min_2,Loc_m_max_1,Loc_m_max_2,Loc_LatLong_1,Loc_LatLong_2,Loc_m_dilated_1,Loc_m_dilated_2,Loc_m_dilated_min_1,Loc_m_dilated_min_2,Loc_m_dilated_max_1,Loc_m_dilated_max_2,Loc_LatLong_dilated_1,Loc_LatLong_dilated_2,distance_m,distance_m_minmax_1,distance_m_minmax_2,distance_m_dilated,distance_m_dilated_minmax_1,distance_m_dilated_minmax_2
23,24,,,31-Oct-2023 03:21:54,31-Oct-2023 03:24:23,31-Oct-2023 03:24:23,19057.8741949971,2595.11186897896,18687.0981046276,1245.10257611824,19669.6547441068,4822.62720219915,23.7439346666146,-161.869827970632,19170.0577011695,3041.33475156441,18719.8295914351,1402.03775309067,19723.5734360782,5056.70576733506,23.7479637984026,-161.868727831471,7550,6150,9860,8010,6310,10100
25,26,,,31-Oct-2023 03:24:15,31-Oct-2023 03:30:16,31-Oct-2023 03:30:13,19898.7121506708,-498.024327876671,19821.9085319514,-777.669109969249,19986.1093719721,-179.807851702359,23.7160054548647,-161.861582206218,19920.8500348963,-379.66084498597,19793.7268039125,-842.521173966789,20047.9732658801,83.199483994849,23.7170742079253,-161.861365108766,4790,4500,5120,4910,4430,5390
27,30,,,31-Oct-2023 03:33:38,31-Oct-2023 03:51:26,31-Oct-2023 03:40:10,23299.4712211187,216.844712413885,23238.5580062723,-4.94252855609043,23360.3844359651,438.631953383861,23.7224603044184,-161.828232310519,23474.8090697047,666.463038167222,23265.5854187105,-95.327919947042,23575.4482942336,1032.8941319437,23.7265200950734,-161.826512841765,6380,6150,6610,6860,6070,7240
28,29,,,31-Oct-2023 03:46:37,31-Oct-2023 03:52:32,31-Oct-2023 03:52:24,26810.9219639671,-1421.63436299395,26742.0635471842,-1672.35037452523,26882.4287813955,-1161.27542794224,23.7076657961483,-161.793796905482,26931.7977145984,-1019.27997578123,26860.29089717,-1279.63891083294,27005.9529326723,-749.278117209089,23.7112988210666,-161.792611524926,5730,5470,6000,6150,5880,6430
7,8,19,,31-Oct-2023 03:04:42,31-Oct-2023 03:11:52,31-Oct-2023 03:06:37,12993.2234688031,2715.57584398625,12911.1230487927,2416.64521485281,13083.26909075,3043.435243681,23.7450223858911,-161.929301595484,12820.3303843234,2161.58308109209,12748.823566895,1901.22414604038,12902.4308043338,2460.51371022553,23.7400201550813,-161.930997089407,6060,5750,6400,5480,5210,5790
10,14,15,,31-Oct-2023 03:08:25,31-Oct-2023 03:10:43,31-Oct-2023 03:10:43,13060.1164007379,-2062.76333774386,13052.1711988014,-2091.69210830516,13068.0616026744,-2033.83456718256,23.7018767762814,-161.928645603026,13098.8917313588,-1959.33957966458,13080.3529268403,-2026.84004430762,13114.7821352318,-1901.48203854198,23.70281063236,-161.928265348734,1470,1440,1500,1580,1510,1640
12,13,18,20,31-Oct-2023 03:08:16,31-Oct-2023 03:14:22,31-Oct-2023 03:14:03,14836.1097988088,363.519302429898,14799.0321897719,228.518373143827,14875.8358084913,508.163155236405,23.7237846902269,-161.911229140007,14881.1326097822,527.449002277272,14780.4933852534,161.01790850079,14952.6394272107,787.807937328983,23.7252648795906,-161.910787619152,4280,4140,4430,4450,4070,4720
