TrackID_1,TrackID_2,TrackID_3,TrackID_4,TrackID_5,TrackID_6,TrackID_7,TrackID_8,Loc_start_time,Loc_end_time,Loc_beam_time,Loc_m_1,Loc_m_2,Loc_m_min_1,Loc_m_min_2,Loc_m_max_1,Loc_m_max_2,Loc_LatLong_1,Loc_LatLong_2,Loc_m_dilated_1,Loc_m_dilated_2,Loc_m_dilated_min_1,Loc_m_dilated_min_2,Loc_m_dilated_max_1,Loc_m_dilated_max_2,Loc_LatLong_dilated_1,Loc_LatLong_dilated_2,distance_m,distance_m_minmax_1,distance_m_minmax_2,distance_m_dilated,distance_m_dilated_minmax_1,distance_m_dilated_minmax_2
35,71,72,75,78,80,,,30-Nov-2017 23:36:46,01-Nov-4035 23:21:18,30-Nov-2017 23:40:46,-14648.1583676165,-5462.58200775567,-14643.4883076442,-5471.42454923734,-14657.4984875611,-5444.89692479233,22.8547068703617,-154.330111046052,-14619.1428508568,-5560.34754251699,-14609.8027309122,-5578.03262548034,-14628.4829708014,-5542.66245955365,22.8538240118021,-154.329828234402,2010,2000,2030,1910,1890,1930
60,,,,,,,,30-Nov-2017 23:35:37,30-Nov-2017 23:38:09,30-Nov-2017 23:36:57,-12936.2304644709,-6005.99976089924,-12936.2304644709,-6005.99976089924,-12940.9005244432,-5997.15721941757,22.8497996091679,-154.313425037706,-12940.4029459803,-6019.51236235321,-12931.0628260357,-6037.19744531656,-12949.7430659249,-6001.82727938987,22.8496775854314,-154.31346570651,730,730,740,720,700,740
66,73,81,83,,,,,30-Nov-2017 23:36:41,30-Nov-2017 23:43:04,30-Nov-2017 23:39:27,-14517.4325762885,-4703.6941586754,-14494.082276427,-4747.90686608376,-14540.7828761501,-4659.48145126705,22.8615599053807,-154.328836873441,-14595.3308604289,-4620.43638229393,-14553.3003206782,-4700.01925562898,-14632.6913402073,-4549.69605044056,22.8623117535725,-154.329596141058,2620,2570,2670,2730,2640,2810
67,84,85,,,,,,30-Nov-2017 23:36:47,30-Nov-2017 23:43:43,30-Nov-2017 23:40:25,-14907.3077046021,-4672.11276664636,-14855.9370449067,-4769.38072294474,-14958.6783642974,-4574.84481034797,22.861845096909,-154.33263695149,-14924.8009337596,-4489.09914165181,-14733.3284748951,-4851.64334240034,-15008.862013261,-4329.93339498173,22.863497776923,-154.332807456432,2830,2720,2940,3000,2590,3180
87,89,,,,,,,30-Nov-2017 23:47:53,30-Nov-2017 23:49:30,30-Nov-2017 23:47:58,-16241.1588109584,-7649.66901734457,-16227.1486310415,-7676.19664178958,-16255.1689908753,-7623.14139289955,22.8349566742235,-154.345637879071,-16241.1588109584,-7649.66901734457,-16217.8085110969,-7693.88172475292,-16269.1791707922,-7596.61376845454,22.8349566742235,-154.345637879071,820,790,850,820,770,880
3,4,5,6,39,,,,30-Nov-2017 23:06:30,30-Nov-2017 23:28:46,30-Nov-2017 23:21:22,-11980.1442230852,2890.19600465319,-11835.3723639438,2616.07721872138,-12138.9262621436,3190.84241503001,22.9301355128075,-154.304106150518,-12137.1278020977,2909.06809834827,-11973.675703067,2599.57914648977,-12305.2499611006,3227.39959168844,22.9303059347205,-154.305636255439,8150,7840,8490,8240,7890,8600
8,15,16,19,20,21,31,41,30-Nov-2017 23:18:10,30-Nov-2017 23:29:49,30-Nov-2017 23:27:13,-12437.5885658302,330.265405341832,-12358.197546301,179.942200153418,-12526.319705304,498.273693493588,22.9070184025988,-154.308564819663,-12535.1622467857,493.603633521284,-12432.420927395,299.067720924513,-12637.9035661764,688.139546118053,22.9084934065787,-154.309515861615,6100,5930,6290,6290,6070,6510
9,18,24,30,29,37,43,,30-Nov-2017 23:20:04,01-Nov-4035 22:54:45,30-Nov-2017 23:27:42,-12294.771132644,-860.911819414457,-12266.7507728101,-913.967068304485,-12322.7914924778,-807.856570524429,22.8962616363059,-154.3071727909,-12290.5986511346,-847.399217960481,-12243.8980514116,-935.824632777195,-12337.2992508576,-758.973803143768,22.8963836600425,-154.307132122095,4980,4920,5040,4990,4890,5090
10,11,13,25,,,,,30-Nov-2017 23:20:27,30-Nov-2017 23:26:50,14-Jul-1916 00:00:00,-13272.6542219596,-336.941721383572,-13141.8925427351,-584.53288287037,-13422.0961410734,-53.9803939700872,22.9009932780565,-154.316704130017,-13328.6949416273,-230.831223603515,-13118.5422428736,-628.745590278727,-13534.1775804087,158.240601590026,22.9019514946863,-154.317250353906,5900,5620,6220,6020,5570,6460
12,27,32,45,52,,,,30-Nov-2017 23:21:20,01-Nov-4035 23:00:20,30-Nov-2017 23:29:00,-12414.9697932956,-1489.84129239021,-12396.2895534064,-1525.21145831689,-12438.3200931571,-1445.62858498185,22.890582172986,-154.308344356508,-12280.0356325617,-1723.91985242303,-12247.3452127556,-1785.81764279473,-12312.7260523678,-1662.02206205133,22.8884683579196,-154.307029165297,4480,4440,4530,4210,4140,4280
