TrackID_1,TrackID_2,TrackID_3,TrackID_4,TrackID_5,TrackID_6,TrackID_7,TrackID_8,Loc_start_time,Loc_end_time,Loc_beam_time,Loc_m_1,Loc_m_2,Loc_m_min_1,Loc_m_min_2,Loc_m_max_1,Loc_m_max_2,Loc_LatLong_1,Loc_LatLong_2,Loc_m_dilated_1,Loc_m_dilated_2,Loc_m_dilated_min_1,Loc_m_dilated_min_2,Loc_m_dilated_max_1,Loc_m_dilated_max_2,Loc_LatLong_dilated_1,Loc_LatLong_dilated_2,distance_m,distance_m_minmax_1,distance_m_minmax_2,distance_m_dilated,distance_m_dilated_minmax_1,distance_m_dilated_minmax_2
1,16,19,25,27,36,58,69,25-Nov-2017 16:18:46,25-Nov-2017 16:36:57,25-Nov-2017 16:30:02,-7865.89181380676,2864.29898084079,-7758.82091656733,2759.24745555751,-7980.10077086215,2976.35394114295,20.4971719237988,-155.829558348408,-7368.1123738485,2572.03945720668,-7268.17953642503,2473.99136694228,-7468.04521127197,2670.08754747107,20.4945319314103,-155.824787318338,7620,7470,7780,7060,6920,7200
3,18,26,28,35,43,67,,25-Nov-2017 16:19:26,25-Nov-2017 16:36:40,25-Nov-2017 16:23:22,-6547.89978228555,4064.83927789316,-6426.5527654142,3945.78088257211,-6676.38485897287,4190.9011082331,20.5080164540538,-155.816925886901,-6719.88634185402,4303.62919252064,-6477.19230811132,4065.51240187854,-6934.02813633288,4513.7322430872,20.5101734532483,-155.818574313857,7520,7350,7700,7810,7470,8110
8,22,29,38,42,,,,25-Nov-2017 16:19:27,25-Nov-2017 16:31:37,25-Nov-2017 16:26:20,-5003.79024048747,2311.69190162152,-4910.99546287997,2220.64724637601,-5103.72307791094,2409.73999188592,20.4921802011516,-155.802126173486,-4874.76666461185,2129.0640919422,-4781.97188700435,2038.01943669669,-4967.56144221936,2220.10874718771,20.4905305165785,-155.800889530687,5190,5060,5330,4970,4840,5100
14,20,31,,,,,,25-Nov-2017 16:19:26,25-Nov-2017 16:28:13,25-Nov-2017 16:20:13,-2507.74908973839,2328.38243088812,-2364.98789341915,2188.31373051041,-2657.64834587359,2475.45456628471,20.4923309673942,-155.778202551034,-2628.96148181267,2433.29933137432,-2443.37192659766,2251.2100208833,-2800.27491739575,2601.38177182757,20.4932786861041,-155.779364326554,3420,3220,3630,3580,3320,3820
23,21,33,32,50,,,,25-Nov-2017 16:24:27,25-Nov-2017 16:32:34,14-Jul-1916 00:00:00,-7881.52007255126,1534.72921677099,-7617.41185936067,1275.60212107223,-8167.04246518974,1814.86661752641,20.4851618650212,-155.829708139432,-8472.2289149141,1932.17489048546,-8165.29234282774,1631.02718467339,-8793.44160663239,2247.3294663353,20.4887520082624,-155.835369863126,6700,6330,7100,7400,6970,7850
30,37,60,65,,,,,25-Nov-2017 16:28:02,25-Nov-2017 16:38:42,25-Nov-2017 16:34:44,-6811.35254491618,-201.715847950439,-6732.8338869406,-278.753633158178,-6897.00926270772,-117.674627723815,20.4694764847914,-155.819450983262,-6717.88464332329,-363.467977370185,-6646.50404516367,-433.502327559039,-6796.40330129887,-286.430192162446,20.4680153711032,-155.818555128324,4720,4610,4840,4540,4440,4650
48,54,78,,,,,,25-Nov-2017 16:32:15,25-Nov-2017 16:38:34,25-Nov-2017 16:32:15,-10070.2089945391,4144.44966209987,-9556.26868778988,3640.20234074012,-10077.3470543551,4151.45309711875,20.5087355779535,-155.850685905531,-9291.75660020806,3338.65076053682,-8834.92077198649,2890.43091932816,-9855.66332566905,3891.92212702876,20.5014567630825,-155.843224729992,10090,9370,10100,8970,8330,9760
45,59,73,79,,,,,25-Nov-2017 16:31:32,25-Nov-2017 16:41:09,25-Nov-2017 16:34:41,-8525.56684469456,849.744724032799,-8347.11534929551,674.658848560666,-8725.43251954149,1045.84090456159,20.4789743717118,-155.835881087268,-8110.7516265863,358.696523928367,-7953.71431063514,204.620953512889,-8282.06506216939,526.778964381615,20.4745387129707,-155.831905238287,6680,6430,6960,6040,5820,6280
39,52,55,74,,,,,25-Nov-2017 16:31:06,25-Nov-2017 16:38:33,25-Nov-2017 16:36:43,-7656.07274068887,-605.755191150758,-7570.41602289733,-689.796411377383,-7748.86751829637,-514.710535905249,20.4658267806605,-155.827547310935,-7919.91170428531,-374.911085121696,-7805.70274722992,-486.966045423861,-8026.98260152474,-269.859559838416,20.4679120050367,-155.830076108888,5040,4920,5170,5390,5230,5540
51,57,70,,,,,,25-Nov-2017 16:32:45,25-Nov-2017 16:47:26,25-Nov-2017 16:40:23,-8925.43871032731,-228.913002530814,-8889.7484112475,-263.930177625242,-8968.26706922308,-186.892392417503,20.469230811767,-155.839713709795,-8853.25036338523,-383.796321728751,-8810.42200448945,-425.816931842063,-8896.078722281,-341.775711615439,20.4678317443262,-155.839021811443,6210,6160,6270,6050,5990,6110
