TrackID_1,TrackID_2,TrackID_3,TrackID_4,TrackID_5,TrackID_6,Loc_start_time,Loc_end_time,Loc_beam_time,Loc_m_1,Loc_m_2,Loc_m_min_1,Loc_m_min_2,Loc_m_max_1,Loc_m_max_2,Loc_LatLong_1,Loc_LatLong_2,Loc_m_dilated_1,Loc_m_dilated_2,Loc_m_dilated_min_1,Loc_m_dilated_min_2,Loc_m_dilated_max_1,Loc_m_dilated_max_2,Loc_LatLong_dilated_1,Loc_LatLong_dilated_2,distance_m,distance_m_minmax_1,distance_m_minmax_2,distance_m_dilated,distance_m_dilated_minmax_1,distance_m_dilated_minmax_2
2,9,12,,,,22-Sep-2017 00:02:27,22-Sep-2017 00:14:19,22-Sep-2017 00:12:43,3861.24218354664,-533.57860583595,3856.77004759164,-542.522877745949,3870.18645545664,-515.690062015952,20.4557801563502,-156.913793998958,3758.38305658165,-672.214820440937,3749.43878467165,-690.103364260935,3762.85519253665,-663.270548530938,20.4545278481218,-156.914779796994,1250,1240,1270,1080,1060,1090
3,14,,,,,22-Sep-2017 00:04:03,22-Sep-2017 00:13:50,22-Sep-2017 00:11:08,3619.74684197666,-323.38821595097,3615.27470602166,-332.332487860969,3624.21897793166,-314.443944040971,20.4576788172127,-156.916108481303,3548.19266669667,-555.939285610948,3543.72053074167,-564.883557520947,3552.66480265167,-546.995013700949,20.4555781711521,-156.916794253849,1330,1320,1340,1090,1080,1100
5,7,16,20,26,34,22-Sep-2017 00:05:23,22-Sep-2017 00:14:42,22-Sep-2017 00:12:26,4093.79325320661,-23.7551069659978,4075.90470938662,-59.5321946059944,4107.20966107161,3.07770876399968,20.4603854188676,-156.911565238182,3879.13072736663,-363.637439545966,3861.24218354664,-399.414527185962,3892.54713523163,-336.804623815968,20.457315243856,-156.913622555821,1810,1770,1840,1410,1370,1440
6,25,,,,,22-Sep-2017 00:06:13,22-Sep-2017 00:13:40,22-Sep-2017 00:13:37,4214.5409239916,16.4941166289984,4192.18024421661,-28.2272429209975,4241.3737397216,70.1597480889934,20.4607489922242,-156.91040799701,4312.92791500159,101.464699773991,4268.2065554516,12.0219806739988,4353.17713859659,181.963146963983,20.4615165359771,-156.909465059758,1900,1850,1960,2020,1920,2110
15,19,,,,,22-Sep-2017 00:09:26,22-Sep-2017 00:15:20,22-Sep-2017 00:14:01,3789.68800826664,-1034.4578327959,3789.68800826664,-1034.4578327959,3794.16014422164,-1025.5135608859,20.4512556879121,-156.914479771505,3744.96664871665,-1123.90055189589,3740.49451276165,-1132.84482380589,3749.43878467165,-1114.9562799859,20.4504477471196,-156.914908379346,770,770,780,670,660,680
18,31,,,,,22-Sep-2017 00:11:59,15-Jun-4035 00:28:10,22-Sep-2017 00:14:40,3762.85519253665,-1311.73026200588,3758.38305658165,-1320.67453391588,3762.85519253665,-1311.73026200588,20.4487510714553,-156.91473693621,3722.60596894165,-1392.22870919587,3718.13383298665,-1401.17298110587,3722.60596894165,-1392.22870919587,20.448023924742,-156.915122683267,510,500,510,420,410,420
41,,,,,,22-Sep-2017 00:15:56,22-Sep-2017 00:17:03,22-Sep-2017 00:16:04,3794.16014422164,-1673.97327436084,3794.16014422164,-1673.97327436084,3803.10441613164,-1656.08473054084,20.4454789112456,-156.91443691072,3776.27160040164,-1709.75036200084,3776.27160040164,-1709.75036200084,3780.74373635664,-1700.80609009084,20.4451557349286,-156.914608353857,200,200,220,160,160,170
40,,,,,,22-Sep-2017 00:16:10,22-Sep-2017 00:17:12,22-Sep-2017 00:16:52,3856.77004759164,-1794.72094514583,3744.96664871665,-2018.32774289581,3861.24218354664,-1785.77667323583,20.4443881911757,-156.913836859742,3753.91092062665,-2000.43919907581,3753.91092062665,-2000.43919907581,3852.29791163664,-1803.66521705583,20.4425299273529,-156.914822657778,120,-130,130,-110,-110,110
45,60,,,,,22-Sep-2017 00:15:53,22-Sep-2017 00:17:51,22-Sep-2017 00:16:56,3986.46199028662,-1602.41909908085,3986.46199028662,-1602.41909908085,3990.93412624162,-1593.47482717085,20.4461252638796,-156.912593897002,3968.57344646663,-1615.83550694585,3964.10131051163,-1624.77977885585,3973.04558242163,-1606.89123503585,20.4460040727607,-156.912765340138,350,350,360,330,320,340
50,,,,,,22-Sep-2017 00:16:22,22-Sep-2017 00:17:10,22-Sep-2017 00:16:43,3852.29791163664,-1736.58317773084,3700.24528916665,-2040.68842267081,3852.29791163664,-1736.58317773084,20.4449133526908,-156.913879720526,3709.18956107665,-2045.16055862581,3709.18956107665,-2045.16055862581,3861.24218354664,-1741.05531368584,20.4421259569566,-156.91525126562,170,-170,170,-170,-170,170
