TrackID_1,TrackID_2,TrackID_3,TrackID_4,TrackID_5,TrackID_6,TrackID_7,TrackID_8,TrackID_9,TrackID_10,Loc_start_time,Loc_end_time,Loc_beam_time,Loc_m_1,Loc_m_2,Loc_m_min_1,Loc_m_min_2,Loc_m_max_1,Loc_m_max_2,Loc_LatLong_1,Loc_LatLong_2,Loc_m_dilated_1,Loc_m_dilated_2,Loc_m_dilated_min_1,Loc_m_dilated_min_2,Loc_m_dilated_max_1,Loc_m_dilated_max_2,Loc_LatLong_dilated_1,Loc_LatLong_dilated_2,distance_m,distance_m_minmax_1,distance_m_minmax_2,distance_m_dilated,distance_m_dilated_minmax_1,distance_m_dilated_minmax_2
1,6,11,14,,,,,,,12-Sep-2017 16:39:54,12-Sep-2017 16:49:11,12-Sep-2017 16:44:38,5233.51174314064,2235.98487631589,5226.24271005802,2196.65090679788,5240.78077622326,2275.3188458339,20.4963929350376,-156.988486480744,5194.17777362263,2243.25390939851,5186.90874054001,2203.9199398805,5203.2640649759,2292.42137129602,20.4964585964773,-156.988863494114,3150,3110,3190,3150,3110,3200
1,7,9,13,17,18,19,20,,,12-Sep-2017 16:39:54,12-Sep-2017 16:52:48,12-Sep-2017 16:44:38,5259.70055995604,2322.66904946076,5252.43152687342,2283.33507994275,5265.152334768,2352.16952659927,20.4971759563203,-156.988235462752,5226.56556627622,2308.45383951372,5219.2965331936,2269.11986999571,5235.6518576295,2357.62130141123,20.4970475498128,-156.988553059368,3240,3200,3270,3220,3180,3270
22,,,,,,,,,,12-Sep-2017 17:02:06,12-Sep-2017 17:04:15,12-Sep-2017 17:03:10,10396.6857834696,-1301.1939188926,10394.868525199,-1311.02741127211,10398.5030417403,-1291.3604265131,20.4644414705795,-156.938997815746,10400.320300011,-1281.5269341336,10396.6857834696,-1301.1939188926,10403.9548165523,-1261.85994937459,20.4646191231667,-156.938962979157,610,600,620,630,610,650
101,,,,,,,,,,12-Sep-2017 17:15:32,12-Sep-2017 17:16:31,12-Sep-2017 17:16:05,14396.1313550019,-2386.06032557634,14396.1313550019,-2386.06032557634,14397.9486132726,-2376.22683319684,20.4546418329468,-156.900663407391,14396.1313550019,-2386.06032557634,14396.1313550019,-2386.06032557634,14397.9486132726,-2376.22683319684,20.4546418329468,-156.900663407391,270,270,280,270,270,280
104,,,,,,,,,,12-Sep-2017 17:16:37,12-Sep-2017 17:17:25,12-Sep-2017 17:17:03,14608.2894469631,-2943.90344332128,14606.4721886924,-2953.73693570079,14697.3351022252,-2462.06231672566,20.4496028158143,-156.898629886797,14608.2894469631,-2943.90344332128,14606.4721886924,-2953.73693570079,14697.3351022252,-2462.06231672566,20.4496028158143,-156.898629886797,-240,-250,250,-240,-250,250
38,44,48,52,58,62,69,,,,12-Sep-2017 17:00:05,12-Sep-2017 17:09:29,12-Sep-2017 17:02:46,10912.3627875277,1654.30556977013,10897.8247213625,1575.63763073411,10928.7181119636,1742.80700118565,20.4911386047464,-156.934055087435,10882.8623103892,1659.7573445821,10853.7861780587,1502.42146651005,10915.572959261,1836.76020741314,20.4911878508262,-156.934337847462,3610,3530,3700,3610,3450,3790
45,47,53,56,59,64,70,80,82,92,12-Sep-2017 17:01:54,12-Sep-2017 17:11:40,12-Sep-2017 17:05:39,11651.2676294531,1690.63234473449,11634.9123050172,1602.13091331897,11667.622953889,1779.13377615001,20.4914667458233,-156.926972735785,11674.8919869716,1818.46774566802,11645.8158546411,1661.13186759598,11700.3336027608,1956.13663898106,20.4926214876404,-156.926746297957,3780,3690,3870,3910,3750,4050
51,61,75,86,,,,,,,12-Sep-2017 17:04:04,12-Sep-2017 17:10:48,12-Sep-2017 17:06:49,12128.2012050833,2070.28266336539,12079.1352317756,1804.77836911883,12184.5362114736,2375.12092712997,20.494896140933,-156.922401360548,12133.6529798953,2099.7831405039,12068.2316821517,1745.77741484181,12209.9778272628,2512.78982044301,20.4951626198138,-156.922349105664,4240,3970,4550,4270,3910,4690
49,50,55,60,65,68,74,87,,,12-Sep-2017 17:03:23,12-Sep-2017 17:10:47,12-Sep-2017 17:07:52,12359.4820579569,1010.60857804761,12343.126733521,922.107146632092,12375.8373823928,1099.11000946314,20.4853240664537,-156.920184549617,12361.2993162275,1020.44207042712,12330.4059256264,853.272699975574,12392.1927068287,1187.61144087866,20.4854128927473,-156.920167131323,3240,3150,3330,3250,3080,3420
67,76,93,97,99,102,106,108,,,12-Sep-2017 17:08:23,12-Sep-2017 17:15:25,12-Sep-2017 17:09:52,12936.3464480244,995.526288035785,12919.9911235885,907.024856620262,12952.7017724603,1084.02771945131,20.4851878275805,-156.914655344457,12945.1098831595,932.890817217459,12912.3992342877,755.887954386413,12981.4550485726,1129.56066480751,20.4846220390989,-156.914571347539,3330,3240,3420,3270,3090,3470
