TrackID_1,TrackID_2,TrackID_3,TrackID_4,TrackID_5,TrackID_6,TrackID_7,TrackID_8,Loc_start_time,Loc_end_time,Loc_beam_time,Loc_m_1,Loc_m_2,Loc_m_min_1,Loc_m_min_2,Loc_m_max_1,Loc_m_max_2,Loc_LatLong_1,Loc_LatLong_2,Loc_m_dilated_1,Loc_m_dilated_2,Loc_m_dilated_min_1,Loc_m_dilated_min_2,Loc_m_dilated_max_1,Loc_m_dilated_max_2,Loc_LatLong_dilated_1,Loc_LatLong_dilated_2,distance_m,distance_m_minmax_1,distance_m_minmax_2,distance_m_dilated,distance_m_dilated_minmax_1,distance_m_dilated_minmax_2
3,15,28,35,50,64,,,23-Jul-2017 17:04:18,23-Jul-2017 17:13:58,23-Jul-2017 17:10:02,-4140.08493750418,4310.49122115693,-4147.7492881044,4281.48677787875,-4129.86580337056,4349.1638121945,25.2236308026893,-172.898720566067,-4165.08178646402,4255.03711813399,-4193.18440533149,4148.68749278067,-4134.42438406314,4371.05489124669,25.2231301825526,-172.898968549483,3110,3080,3150,3050,2940,3170
2,14,25,30,38,60,,,23-Jul-2017 17:04:56,23-Jul-2017 17:14:10,23-Jul-2017 17:10:52,-4424.66896518266,4251.22967215341,-4429.77853224947,4231.89337663462,-4419.55939811585,4270.56596767219,25.2230958102695,-172.90154380668,-4469.55309603551,4159.6577616263,-4482.32701370254,4111.31702282934,-4454.22439483507,4217.66664818265,25.2222691312706,-172.901989083606,2980,2960,3000,2880,2830,2940
7,12,,,,,,,23-Jul-2017 17:06:35,23-Jul-2017 17:12:11,23-Jul-2017 17:11:23,-4699.23400706527,4034.17198909197,-4706.89835766549,4005.16754581379,-4691.56965646505,4063.17643237015,25.2211362898543,-172.904267653073,-4738.10674644061,3847.92239813012,-4750.88066410764,3799.58165933316,-4722.77804524017,3905.93128468647,25.2194548940582,-172.904653293467,2700,2670,2730,2510,2460,2570
6,8,17,19,39,,,,23-Jul-2017 17:06:22,14-Feb-4035 10:18:14,14-Jul-1916 00:00:00,-4908.87926028483,5589.34042620819,-4944.64622975253,5453.9863575767,-4873.11229081714,5724.69449483968,25.2351758034925,-172.906347457052,-4933.17443317173,5223.40362213624,-4966.38661910601,5097.71770126414,-4897.40746370404,5358.75769076772,25.2318722547392,-172.906588479429,4150,4010,4290,3790,3660,3930
16,26,33,36,40,50,63,,23-Jul-2017 17:08:56,14-Feb-4035 10:23:55,23-Jul-2017 17:12:18,-5349.25331108053,3492.25418683085,-5354.36287814734,3472.91789131207,-5344.14374401372,3511.59048234964,25.2162440465486,-172.910716226147,-5332.47179909515,3477.47647200465,-5340.13614969537,3448.47202872647,-5324.80744849493,3506.48091528282,25.2161106385371,-172.910549743697,2010,1990,2030,2000,1970,2030
22,55,,,,,,,23-Jul-2017 17:09:46,14-Feb-4035 10:26:27,23-Jul-2017 17:13:56,-5585.09630328651,3813.15617035125,-5592.76065388673,3784.15172707308,-5577.43195268629,3842.16061362943,25.2191410367824,-172.913055927076,-5604.08176076883,3663.02438689356,-5619.41046196927,3605.01550033721,-5586.19827603498,3730.7014212093,25.2177856998484,-172.913244273959,2260,2230,2290,2110,2050,2180
23,48,85,,,,,,23-Jul-2017 17:11:36,23-Jul-2017 17:17:07,23-Jul-2017 17:16:03,-6177.7589381793,4114.57116865417,-6185.42328877952,4085.56672537599,-6172.64937111248,4133.90746417295,25.2218621053679,-172.918935488323,-6195.64242291314,4046.89413433842,-6221.19025824721,3950.2126567445,-6167.53980404567,4153.24375969173,25.2212511409067,-172.919112902989,2400,2370,2420,2330,2230,2440
47,,,,,,,,23-Jul-2017 17:13:12,23-Jul-2017 17:16:38,23-Jul-2017 17:15:06,-6250.84460517774,2820.29203134282,-6253.39938871115,2810.62388358343,-6250.84460517774,2820.29203134282,25.2101778085636,-172.919660541043,-6250.84460517774,2820.29203134282,-6255.95417224455,2800.95573582404,-6248.28982164433,2829.96017910222,25.2101778085636,-172.919660541043,1130,1120,1130,1130,1110,1140
46,59,75,,,,,,23-Jul-2017 17:12:32,23-Jul-2017 17:16:51,23-Jul-2017 17:15:55,-6447.51347861098,2624.02345458511,-6450.06826214439,2614.35530682572,-6442.40391154417,2643.35975010389,25.2084059648878,-172.921611611717,-6450.06826214439,2614.35530682572,-6452.6230456778,2604.68715906633,-6447.51347861098,2624.02345458511,25.2083186842505,-172.921636956669,890,880,910,880,870,890
29,76,83,88,114,,,,23-Jul-2017 17:14:30,23-Jul-2017 17:19:53,23-Jul-2017 17:19:53,-6998.19991800231,5158.83004394661,-7016.08340273616,5091.15300963087,-6977.76164973506,5236.17522602175,25.2312893071883,-172.927074744463,-6977.56150139729,5432.64395111723,-7003.10933673136,5335.96247352331,-6954.56844959663,5519.65728095176,25.2337612028315,-172.926869999255,3200,3130,3280,3470,3370,3560
70,103,120,,,,,,23-Jul-2017 17:14:29,23-Jul-2017 17:21:07,23-Jul-2017 17:18:43,-6651.34980247231,5884.29196393748,-6679.45242133979,5777.94233858417,-6620.69240007144,6000.30973705018,25.2378385222294,-172.923633787707,-6607.0166579937,5934.63649989361,-6637.67406039458,5818.61872678091,-6573.80447205941,6060.3224207657,25.2382930149919,-172.923193976889,3990,3880,4110,4050,3930,4180
84,89,94,,,,,,23-Jul-2017 17:16:23,23-Jul-2017 17:20:07,23-Jul-2017 17:18:40,-7306.87665644839,2933.85393820024,-7309.4314399818,2924.18579044085,-7306.87665644839,2933.85393820024,25.2112030055147,-172.93013699891,-7311.43523714097,2955.74501725243,-7313.99002067438,2946.07686949304,-7308.88045360757,2965.41316501183,25.2114006304764,-172.930182222707,970,960,970,990,980,1000
87,112,,,,,,,23-Jul-2017 17:18:56,14-Feb-4035 10:39:10,23-Jul-2017 17:20:57,-8030.53492761785,3052.67610182318,-8030.53492761785,3052.67610182318,-8027.98014408444,3062.34424958257,25.2122756902136,-172.937316113767,-8050.42220951087,3016.55829431902,-8052.97699304427,3006.89014655963,-8047.86742597746,3026.22644207841,25.2119496313514,-172.937513407278,900,900,910,860,850,870
