TrackID_1,TrackID_2,TrackID_3,TrackID_4,TrackID_5,TrackID_6,TrackID_7,TrackID_8,TrackID_9,TrackID_10,Loc_start_time,Loc_end_time,Loc_beam_time,Loc_m_1,Loc_m_2,Loc_m_min_1,Loc_m_min_2,Loc_m_max_1,Loc_m_max_2,Loc_LatLong_1,Loc_LatLong_2,Loc_m_dilated_1,Loc_m_dilated_2,Loc_m_dilated_min_1,Loc_m_dilated_min_2,Loc_m_dilated_max_1,Loc_m_dilated_max_2,Loc_LatLong_dilated_1,Loc_LatLong_dilated_2,distance_m,distance_m_minmax_1,distance_m_minmax_2,distance_m_dilated,distance_m_dilated_minmax_1,distance_m_dilated_minmax_2
126,127,129,,,,,,,,09-Jul-2017 04:33:28,09-Jul-2017 04:35:09,14-Jul-1916 00:00:00,26012.9846251473,4429.25357821713,26030.6711304428,3989.60919063732,25988.8666633806,5028.76865218961,20.5477408300905,-158.415253958008,26017.750984664,4559.55047694062,26039.0551842246,4029.97882826493,25990.8192606913,5229.00897620988,20.5489178023894,-158.41520826344,3380,2940,3980,3510,2980,4180
123,128,132,134,,,,,,,09-Jul-2017 04:33:01,09-Jul-2017 04:36:12,09-Jul-2017 04:33:01,24851.5689216339,5933.78458940716,24871.6672231061,5434.18869443009,24825.8430957494,6573.2673349778,20.5613312634811,-158.426388323434,24852.3728536928,5913.80075360807,24872.8731211944,5404.21294073147,24827.8529258967,6523.30774548009,20.5611507494291,-158.426380616225,4930,4430,5570,4910,4400,5520
115,117,118,116,120,122,,,,,09-Jul-2017 04:31:02,25-Jul-6052 13:35:00,09-Jul-2017 04:32:03,24769.4480412602,1506.90576104437,24769.8500072896,1496.91384314483,24769.4480412602,1506.90576104437,20.5213432529994,-158.42717560734,24770.2519733191,1486.92192524529,24770.2519733191,1486.92192524529,24769.8500072896,1496.91384314483,20.5211627389474,-158.427167900131,510,500,510,490,490,500
100,102,105,112,,,,,,,09-Jul-2017 04:27:42,09-Jul-2017 04:31:10,09-Jul-2017 04:29:04,23858.9789504871,3241.71008278986,23862.5966447521,3151.78282169399,23855.3612562221,3331.63734388573,20.5370137459339,-158.435904175014,23850.1929306759,3211.33236306179,23855.4184890586,3081.43743036775,23844.5654062636,3351.21921365537,20.5367393438954,-158.435988405625,2280,2190,2370,2250,2120,2390
89,90,91,94,95,99,101,103,107,108,09-Jul-2017 04:25:24,25-Jul-6052 13:16:33,09-Jul-2017 04:27:26,23427.9475480353,2263.59356105002,23428.3495140647,2253.60164315047,23427.5455820058,2273.58547894956,20.5281784162942,-158.440036425964,23423.583154548,2123.30474442699,23423.9851205774,2113.31282652745,23423.1811885185,2133.29666232654,20.5269111869692,-158.440078266928,1320,1310,1330,1180,1170,1190
83,,,,,,,,,,09-Jul-2017 04:23:55,09-Jul-2017 04:26:12,09-Jul-2017 04:25:23,22777.4386849865,1516.84178228084,22777.4386849865,1516.84178228084,22777.036718957,1526.83370018038,20.5214330051108,-158.446272783345,22778.2426170454,1496.85794648175,22778.2426170454,1496.85794648175,22777.8406510159,1506.84986438129,20.5212524910587,-158.446265076136,600,600,610,580,580,590
58,60,67,69,71,73,74,75,77,,09-Jul-2017 04:06:26,16-Jan-4035 08:30:46,09-Jul-2017 04:09:33,18138.2632240671,5383.48775040401,18140.6750202437,5323.53624300676,18135.8514278904,5443.43925780125,20.556360430391,-158.490748051503,18080.7235128465,5321.12444683009,18083.5372750526,5251.1810215333,18078.3117166698,5381.07595422734,20.5557971024722,-158.491299678427,4650,4590,4710,4590,4520,4650
38,40,41,43,44,45,48,54,,,09-Jul-2017 03:56:29,16-Jan-4035 07:57:41,09-Jul-2017 03:59:36,15259.2678328907,2315.28216120605,15260.0717649496,2295.29832540697,15258.4639008319,2335.26599700514,20.5286453195832,-158.518348665692,15290.0475186483,2296.5042234953,15291.2534167366,2266.52846979668,15289.2435865894,2316.48805929439,20.5284756984123,-158.518053584208,1700,1680,1720,1680,1650,1700
