TrackID_1,TrackID_2,TrackID_3,TrackID_4,TrackID_5,Loc_start_time,Loc_end_time,Loc_beam_time,Loc_m_1,Loc_m_2,Loc_m_min_1,Loc_m_min_2,Loc_m_max_1,Loc_m_max_2,Loc_LatLong_1,Loc_LatLong_2,Loc_m_dilated_1,Loc_m_dilated_2,Loc_m_dilated_min_1,Loc_m_dilated_min_2,Loc_m_dilated_max_1,Loc_m_dilated_max_2,Loc_LatLong_dilated_1,Loc_LatLong_dilated_2,distance_m,distance_m_minmax_1,distance_m_minmax_2,distance_m_dilated,distance_m_dilated_minmax_1,distance_m_dilated_minmax_2
6,14,15,17,18,09-Oct-2017 03:34:23,09-Oct-2017 03:39:36,14-Jul-1916,6548.99589250138,123.825379548988,6437.19249362639,-99.7814182009906,6687.63210710637,401.097808758962,20.4617185211753,-156.888034667679,5761.89996442146,-623.021324935941,5667.98510936647,-810.851035045924,5878.17549925145,-390.470255275963,20.4549722155577,-156.895578165691,3040,2790,3350,2020,1810,2280
2,,,,,09-Oct-2017 03:33:10,09-Oct-2017 03:33:33,14-Jul-1916,3807.57655208664,-2183.79677323079,3771.79946444665,-2255.35094851079,4066.96043747662,-1665.02900245084,20.4408736487282,-156.914308328368,3803.10441613164,-2215.10172491579,3762.85519253665,-2295.60017210578,4093.79325320661,-1633.72405076585,20.4405908694508,-156.914351189152,-250,-330,330,-280,-370,370
3,5,7,12,,09-Oct-2017 03:32:48,09-Oct-2017 03:35:13,14-Jul-1916,5511.46035094148,-631.96559684594,5359.40772847149,-936.070841785912,5761.89996442146,-131.086369885988,20.4548914214785,-156.897978369604,5256.54860150651,-828.739578865922,5117.91238690152,-1106.0120080759,5475.68326330148,-390.470255275963,20.4531139517349,-156.900421434301,1900,1560,2460,1610,1300,2100
