TrackID_1,TrackID_2,TrackID_3,TrackID_4,TrackID_5,TrackID_6,TrackID_7,TrackID_8,TrackID_9,Loc_start_time,Loc_end_time,Loc_beam_time,Loc_m_1,Loc_m_2,Loc_m_min_1,Loc_m_min_2,Loc_m_max_1,Loc_m_max_2,Loc_LatLong_1,Loc_LatLong_2,Loc_m_dilated_1,Loc_m_dilated_2,Loc_m_dilated_min_1,Loc_m_dilated_min_2,Loc_m_dilated_max_1,Loc_m_dilated_max_2,Loc_LatLong_dilated_1,Loc_LatLong_dilated_2,distance_m,distance_m_minmax_1,distance_m_minmax_2,distance_m_dilated,distance_m_dilated_minmax_1,distance_m_dilated_minmax_2
12,25,35,43,57,,,,,12-Sep-2017 16:38:44,12-Sep-2017 16:58:09,12-Sep-2017 16:50:39,-5187.12910681243,10121.2339913934,-5209.10817229142,9922.44535821563,-5164.0510880595,10329.96205623,21.8521578365057,-159.303405508787,-5458.4486560708,9487.21056738583,-5478.22981500189,9308.30079752588,-5437.56854386577,9676.05976890468,21.8464315567936,-159.30602857175,9490,9290,9700,8830,8650,9020
22,31,41,49,55,66,74,,,12-Sep-2017 16:49:27,12-Sep-2017 17:01:16,12-Sep-2017 16:57:01,-8670.74058093302,5093.61516163157,-8674.03744075487,5063.79686665491,-8666.34476783723,5133.37288826712,21.8067501266094,-159.337084365545,-8686.12592676831,4954.46311840716,-8691.62069313806,4904.76596011273,-8681.73011367252,4994.22084504271,21.8054933536073,-159.337233107981,4110,4080,4150,3970,3920,4010
24,27,33,75,,,,,,12-Sep-2017 16:50:25,12-Sep-2017 17:00:45,12-Sep-2017 17:00:45,-9575.44891783807,7648.51297272588,-9586.43845057756,7549.11865613702,-9565.55833837253,7737.96785765586,21.8298250777044,-159.34583090422,-9595.47433773588,7922.37239388557,-9609.76073029721,7793.15978232004,-9581.18794517454,8051.58500545109,21.8322984810329,-159.346024505961,6550,6450,6640,6820,6690,6950
30,32,,,,,,,,12-Sep-2017 16:51:45,12-Sep-2017 16:59:37,12-Sep-2017 16:57:50,-9008.48584856179,4768.76422013013,-9011.78270838364,4738.94592515347,-9004.09003546599,4808.52194676567,21.8038161855509,-159.340349619025,-8996.348510355,4787.54413017395,-9004.04118327265,4717.96810856174,-8989.75479071131,4847.18072012727,21.8039857991863,-159.340232277674,3750,3720,3790,3770,3700,3830
40,45,81,83,95,,,,,12-Sep-2017 16:54:35,12-Sep-2017 17:05:21,12-Sep-2017 16:59:47,-9417.10149985009,4803.88187270315,-9419.29940639799,4784.00300938538,-9414.90359330219,4823.76073602092,21.8041333560116,-159.344300033154,-9463.45294612933,4748.64109584563,-9466.74980595118,4718.82280086897,-9461.25503958143,4768.5199591634,21.8036344404703,-159.344748149637,3740,3720,3760,3680,3650,3700
38,42,51,69,76,,,,,12-Sep-2017 16:53:48,12-Sep-2017 17:01:10,12-Sep-2017 17:00:44,-10042.2844454727,5064.16303702869,-10047.7792118424,5014.46587873425,-10036.7896791029,5113.86019532312,21.8064841252328,-159.350344176432,-10018.8644613663,4639.01423443781,-10024.3592277361,4589.31707614337,-10013.3696949966,4688.71139273224,21.8026443286722,-159.350117756725,3930,3880,3980,3510,3460,3560
47,61,68,,,,,,,12-Sep-2017 16:56:35,27-May-4035 09:56:38,12-Sep-2017 17:01:58,-10319.953453408,3917.73383204819,-10321.052406682,3907.79440038931,-10317.7555468601,3937.61269536597,21.7961299741886,-159.353028624688,-10337.5367057912,3758.70292550601,-10338.6356590652,3748.76349384712,-10335.3387992433,3778.58178882378,21.7946936621861,-159.353198616044,2760,2750,2780,2600,2590,2620
52,77,103,114,121,,,,,12-Sep-2017 16:57:14,12-Sep-2017 17:05:14,12-Sep-2017 17:02:48,-10585.0701005695,4067.77770362541,-10588.3669603913,4037.95940864875,-10582.8721940216,4087.65656694318,21.7974851184075,-159.355591719238,-10601.603251872,4009.24006694604,-10608.1969715157,3949.60347699272,-10592.8116256804,4088.75552021713,21.7969564267715,-159.355751558427,2880,2850,2900,2820,2760,2900
67,80,90,,,,,,,12-Sep-2017 16:58:57,12-Sep-2017 17:02:10,14-Jul-1916 00:00:00,-10769.2303758324,3585.09251324242,-10775.8240954761,3525.4559232891,-10762.6366561887,3644.72910319574,21.7931256731436,-159.357372143828,-10754.7974266911,3442.64361019616,-10760.2921930608,3392.94645190172,-10747.1047537734,3512.21963180836,21.7918391240468,-159.357232608971,2380,2320,2440,2240,2190,2310
79,87,,,,,,,,12-Sep-2017 17:00:02,12-Sep-2017 17:02:30,14-Jul-1916 00:00:00,-10882.5202674359,2742.43872878496,-10885.8171272577,2712.6204338083,-10878.1244543401,2782.1964554205,21.7855151163605,-159.358467407769,-10834.9233113027,2535.95742268958,-10837.1212178506,2516.07855937181,-10831.6264514808,2565.77571766624,21.7836502488032,-159.358007249947,1530,1500,1570,1330,1310,1360
