TrackID_1,TrackID_2,TrackID_3,TrackID_4,Loc_start_time,Loc_end_time,Loc_beam_time,Loc_m_1,Loc_m_2,Loc_m_min_1,Loc_m_min_2,Loc_m_max_1,Loc_m_max_2,Loc_LatLong_1,Loc_LatLong_2,Loc_m_dilated_1,Loc_m_dilated_2,Loc_m_dilated_min_1,Loc_m_dilated_min_2,Loc_m_dilated_max_1,Loc_m_dilated_max_2,Loc_LatLong_dilated_1,Loc_LatLong_dilated_2,distance_m,distance_m_minmax_1,distance_m_minmax_2,distance_m_dilated,distance_m_dilated_minmax_1,distance_m_dilated_minmax_2
2,10,,,09-Aug-2017 21:07:16,09-Aug-2017 21:09:59,09-Aug-2017 21:08:42,52.5266570862813,3060.88482478923,55.0978940994372,2850.90056647394,49.5881004998175,3300.86683429242,20.4076501989934,-156.064968495792,70.4436802961351,3231.11696123619,74.3617557447535,2911.14094856528,66.7704845630552,3531.09447311518,20.4091879292214,-156.064796869082,3060,2850,3300,3230,2910,3530
4,5,7,13,09-Aug-2017 21:08:18,20-Mar-4035 18:16:54,09-Aug-2017 21:10:30,542.122606915315,3096.88212900782,543.836764924086,2956.8926234643,540.163569191006,3256.87013534328,20.4079753675777,-156.060278668626,561.508908418401,3147.12326070319,563.46794614271,2987.13525436774,559.427430836322,3317.11051743462,20.4084292026086,-156.060092967736,3090,2950,3250,3140,2980,3310
9,14,,,09-Aug-2017 21:09:43,09-Aug-2017 21:12:35,14-Jul-1916 00:00:00,1490.82699595441,3208.50641945557,1493.6431126831,2978.52366034835,1487.52111979464,3478.48618014666,20.4089836850975,-156.051191053382,1488.01087922571,3438.48917856279,1492.90847353649,3038.51916272415,1483.97036391932,3768.46444162968,20.411061150892,-156.051218028893,3190,2960,3460,3420,3020,3750
17,27,32,,09-Aug-2017 21:13:23,09-Aug-2017 21:21:10,14-Jul-1916 00:00:00,6231.0022191178,9757.03593788243,6241.28716717043,8917.09890462127,6225.85974509149,10177.004454513,20.4681374500661,-156.005785035332,6166.72132172008,10106.2750625946,6177.98578863486,9186.34402616574,6165.86424271569,10176.2698153664,20.4712921749617,-156.006400780415,9680,8840,10100,10030,9110,10100
12,22,25,,09-Aug-2017 21:11:22,09-Aug-2017 21:16:33,09-Aug-2017 21:16:33,2422.87956433687,4680.02876375472,2425.81812092333,4440.04675425153,2419.81856789264,4930.01002365387,20.4222761481849,-156.042262945506,2437.73559110249,5100.24216010084,2441.40878683557,4800.26464822185,2434.18483522718,5390.22042158385,20.426071993407,-156.042120640003,4650,4410,4900,5070,4770,5360
11,20,24,,09-Aug-2017 21:11:14,09-Aug-2017 21:15:47,14-Jul-1916 00:00:00,3757.84070514444,5916.46669286145,3766.16661547276,5236.51766593575,3747.06599766074,6796.40072770647,20.433445061519,-156.02947538665,3862.81242533153,6327.78279753152,3872.117854522,5567.83976743809,3851.30307870121,7267.71233475234,20.4371605362855,-156.028469865209,5870,5190,6750,6280,5520,7220
15,29,,,09-Aug-2017 21:12:36,09-Aug-2017 21:17:21,09-Aug-2017 21:17:21,2816.11540196379,2784.70146325861,2817.95199983033,2634.71270731912,2814.15636423948,2944.68946959407,20.4051553968229,-156.038496149407,2812.93196566179,3044.68197355373,2817.09492082595,2704.70746009088,2810.36072864863,3254.66623186902,20.4075038364167,-156.038526643462,2750,2600,2910,3010,2670,3220
33,36,41,,09-Aug-2017 21:21:33,09-Aug-2017 21:26:54,14-Jul-1916 00:00:00,6622.36065490265,6381.57469906779,6627.62556878673,5951.60693204125,6616.11622215642,6891.53646926206,20.4376464459071,-156.002036222817,6668.07151186056,6732.16066221545,6673.94862503348,6252.19664320908,6661.45975954101,7272.12018359763,20.4408133369789,-156.001598359679,6300,5870,6810,6650,6170,7190
34,43,44,45,09-Aug-2017 21:21:46,09-Aug-2017 21:28:01,14-Jul-1916 00:00:00,6641.09395314136,4851.68938848497,6644.27738944336,4591.70887818985,6637.66563712382,5131.66839957202,20.4238267821435,-156.001856777029,6685.21309194826,5332.26560678019,6691.21264497896,4842.30233737785,6680.6828172108,5702.23787143094,20.4281678930122,-156.001434160919,4770,4510,5050,5250,4760,5620
39,46,,,09-Aug-2017 21:26:19,09-Aug-2017 21:28:41,14-Jul-1916 00:00:00,4840.12693711311,2469.45980106517,4842.45329441073,2279.47404354181,4837.31082038442,2699.44256017239,20.4023077756674,-156.019108194327,4849.14666864692,2549.57624409067,4852.69742452223,2259.59798260765,4845.59591277161,2839.55450557368,20.4030314784815,-156.019021794547,2410,2220,2640,2490,2200,2780
42,47,,,09-Aug-2017 21:26:50,09-Aug-2017 21:30:17,14-Jul-1916 00:00:00,5228.8733039781,2574.22745947783,5230.70990184464,2424.23870353834,5226.66938653825,2754.21396660522,20.4032541562899,-156.015384402754,5227.52646554264,2684.21921383346,5231.07722141795,2394.24095235044,5224.34302924063,2944.19972412858,20.4042477268873,-156.015397304085,2510,2360,2690,2620,2330,2880
