TrackID_1,TrackID_2,TrackID_3,TrackID_4,TrackID_5,Loc_start_time,Loc_end_time,Loc_beam_time,Loc_m_1,Loc_m_2,Loc_m_min_1,Loc_m_min_2,Loc_m_max_1,Loc_m_max_2,Loc_LatLong_1,Loc_LatLong_2,Loc_m_dilated_1,Loc_m_dilated_2,Loc_m_dilated_min_1,Loc_m_dilated_min_2,Loc_m_dilated_max_1,Loc_m_dilated_max_2,Loc_LatLong_dilated_1,Loc_LatLong_dilated_2,distance_m,distance_m_minmax_1,distance_m_minmax_2,distance_m_dilated,distance_m_dilated_minmax_1,distance_m_dilated_minmax_2
4,8,9,,,20-Jul-2017 20:21:28,20-Jul-2017 20:22:23,20-Jul-2017 20:22:23,936.465268976912,280.350137973974,905.160317291915,217.740234603979,981.186628526908,369.792857073965,20.4631324175622,-156.941824951797,963.298084706909,334.015769433969,887.271773471917,181.963146963983,1030.3801240319,468.179848083956,20.4636171820377,-156.941567787092,670,600,770,730,560,880
6,7,,,,20-Jul-2017 20:21:35,20-Jul-2017 20:22:32,14-Jul-1916 00:00:00,1084.0457554919,240.100914378977,1043.7965318969,159.602467188985,1137.71138695189,347.432177298967,20.4627688442056,-156.94041054592,1137.71138695189,302.710817748971,1075.1014835819,177.491011008983,1213.73769818689,454.763440218957,20.4633344027603,-156.93989621651,700,610,820,780,640,950
10,15,21,26,27,20-Jul-2017 20:22:32,20-Jul-2017 20:27:50,20-Jul-2017 20:23:05,1258.45905773688,723.091597518932,1249.51478582688,705.203053698934,1267.40332964688,740.98014133893,20.4671317244852,-156.938738975338,1151.12779481689,486.068391903954,1142.18352290689,468.179848083956,1160.07206672689,503.956935723953,20.464990681385,-156.939767634158,1210,1190,1230,950,930,970
