Cruise,AC_ID,VIS_ID,Detection Type,Mixed Species Encounter (Y/N),Array Processing Name,Hydrophones Used,Banter Score,Localization_Status,Stock,Stock Justification,Stock Overlap,LAT_AC,LON_AC,Start_Time,End_Time,Processed_StartTime,Processed_EndTime,LAT_AC_END,LON_AC_END,Notes
2019 CRPGT,1901005,S004,Visual,,PT19t_30m_Moli_19,"1,7",0.6476,1. New,MHIorHIPelagic,Not possible to assign to stock with available information,,19.27483833,-157.3610933,04/01/2019 21:11:22,04/01/2019 22:23:43,,,19.28881,-157.383,
2019 CRPGT,1901006,S005,Visual,,PT19t_30m_Moli_19,"1,7",0.8324,1. New,MHIorHIPelagic,Not possible to assign to stock with available information,,19.28286667,-157.4017733,04/01/2019 22:24:23,04/01/2019 22:48:23,,,19.266686,-157.4542,
2019 CRPGT,1901007,S006,Visual,,PT19t_30m_Moli_19,"1,7",,1. New,MHIorHIPelagic,Not possible to assign to stock with available information,,19.26263667,-157.46861,04/01/2019 22:50:09,04/01/2019 23:39:59,,,19.22284,-157.6029,
2020 WHICEAS,2001260,N/A,AC,,Kolea_30m_Pueo_20,"1,6",0.9404,3. Completed,HIPelagic,Within HI pelagic assessment area; Double check visual confirmation,,18.01669833,-155.4729833,03/04/2020 22:48:48,03/05/2020 0:09:26,,,18.07427,-155.695,
2020 WHICEAS,2001112,N/A,AC,,Kolea_30m_Pueo_20,"1,6",0.7986,3. Completed,HIPelagic,Within HI pelagic assessment area; Double check visual confirmation,,19.64075833,-158.7679667,02/02/2020 0:54:25,02/02/2020 2:12:28,,,19.59402,-158.584,
2020 WHICEAS,2001261,N/A,AC,YES,Kolea_30m_Pueo_20,"1,6",0.7102,3. Completed,HIPelagic,Within HI pelagic assessment area; Double check visual confirmation,,17.67421833,-155.7476033,03/05/2020 16:46:21,03/05/2020 18:11:42,,03/05/2020 17:27:51,17.70325,-155.857,"Pilot whales show up at 17:30, so cutting off encounter before that starts"
2020 WHICEAS,2001192,N/A,AC,,Kolea_30m_Pueo_20,"1,6",0.5582,3. Completed,HIPelagic,Within HI pelagic assessment area; Double check visual confirmation,,21.86456,-156.1065917,02/24/2020 0:11:40,02/24/2020 0:21:35,,,21.85893,-156.083,
2020 WHICEAS,2001219,N/A,AC,,Kolea_30m_Pueo_20,"1,6",0.978,3. Completed,MHIorHIPelagic,Not possible to assign to stock with available information,,19.22200833,-156.792645,02/28/2020 20:50:46,02/28/2020 21:33:01,,,19.19424,-156.688,
2020 WHICEAS,2001170,N/A,AC,,Kolea_30m_Pueo_20,"1,6",0.7326,3. Completed,MHIorHIPelagic,Not possible to assign to stock with available information,,21.09088333,-156.1710617,02/11/2020 17:09:18,02/11/2020 18:17:12,02/11/2020 17:33:17,,21.14093,-156.274,subgroup tab start time later than detection tab start time
2020 WHICEAS,2001274,N/A,AC,,Kolea_30m_Pueo_20,"1,6",0.7225,3. Completed,MHIorHIPelagic,Not possible to assign to stock with available information,,21.30765,-160.4003017,03/08/2020 19:16:30,03/08/2020 20:32:54,,,21.35994,-160.618,
2020 WHICEAS,2001218,N/A,AC,,Kolea_30m_Pueo_20,"1,6",0.9655,3. Completed,MHIorHIPelagic,Not possible to assign to stock with available information,,19.209255,-156.8664117,02/28/2020 20:21:12,02/28/2020 20:23:43,,,19.21213,-156.858,
2020 WHICEAS,2001222,N/A,AC,,Kolea_30m_Pueo_20,"1,6",0.6752,3. Completed,MHIorHIPelagic,Not possible to assign to stock with available information,,19.14792333,-156.556895,02/28/2020 22:29:22,02/28/2020 22:46:41,,,19.13313,-156.518,
2020 WHICEAS,2001273,N/A,AC,,Kolea_30m_Pueo_20,"1,6",0.552,3. Completed,MHIorHIPelagic,Not possible to assign to stock with available information,,21.267835,-160.2491267,03/08/2020 18:26:43,03/08/2020 18:57:40,,,21.29281,-160.346,
2020 WHICEAS,2001288,N/A,AC,,Kolea_30m_Pueo_20,"1,6",0.8456,3. Completed,MHIorHIPelagic,Not possible to assign to stock with available information,,21.326345,-158.8559967,03/11/2020 3:14:20,03/11/2020 4:05:44,,,21.27809,-158.72,
2020 WHICEAS,2001212,S255,Visual,,Kolea_30m_Pueo_20,"1,6",0.6137,3. Completed,HIPelagic,Within HI pelagic assessment area,,18.80016667,-157.0304083,02/27/2020 21:05:46,02/27/2020 23:22:40,,,17.70325,-155.857,
2020 WHICEAS,2001257,S284/S285,Visual,,Kolea_30m_Pueo_20,"1,6",0.9841,3. Completed,HIPelagic,Within HI pelagic assessment area; Double check visual confirmation,,18.24249333,-154.8817767,03/04/2020 0:31:56,03/04/2020 1:52:12,,,18.19682,-154.705,
2020 WHICEAS,2001095,S131,Visual,,Kolea_30m_Pueo_20,"1,6",0.8106,3. Completed,MHIorHIPelagic,Not possible to assign to stock with available information,,20.79857667,-158.3411767,01/29/2020 2:40:37,01/29/2020 4:17:14,01/29/2020 3:37:12,,20.7809,-158.283,subgroup tab start time later than detection tab start time
2020 WHICEAS,2001223,S258,Visual,,Kolea_30m_Pueo_20,"1,6",0.9655,3. Completed,MHIorHIPelagic,Not possible to assign to stock with available information,,19.133135,-156.518045,02/28/2020 22:46:41,02/29/2020 0:08:27,,02/29/2020 0:03:44,19.13568,-156.322,
2021 MACS,2102227,N/A,AC,,Kolea_30m_Pueo_21,"1,6",0.839,3. Completed,MA,,,20.176145,148.48915,07/06/2021 22:31:57,07/06/2021 23:08:32,,,20.08837,148.3984,
2021 MACS,2102047,N/A,AC,,Kolea_30m_Pueo_21,"1,6",0.7696,3. Completed,MA,,,18.73612333,142.1964083,05/17/2021 19:57:54,05/17/2021 20:14:51,,,18.76435,142.2254,
2021 MACS,2102086,N/A,AC,YES,Kolea_30m_Pueo_21,"1,6",0.7572,3. Completed,MA,,,22.99223333,144.352335,05/23/2021 7:11:15,05/23/2021 8:25:05,05/23/2021 7:23:53 AM,,22.79891,144.3566,"p1 noted as starting at 7:11:15 but first FKW signal was noted at 7:23:53, have localization with original start time but reran with start time closer to 7:23 to see if it would help with trouble in calculating locations (it didn't). Also there were sperm whale EC at the start of the encounter. maybe run as P3 only"
2021 MACS,2102022,N/A,AC,,Kolea_30m_Pueo_21,"1,6",0.6556,3. Completed,MA,,,19.66434,146.7189017,05/10/2021 6:44:33,05/10/2021 7:22:43,,,19.73538,146.7945,
2021 MACS,2102151,N/A,AC,,Kolea_30m_Pueo_21,"1,6",0.5994,3. Completed,MA,,,15.87210333,149.0006633,06/21/2021 7:08:18,06/21/2021 7:51:19,,,15.83441,149.0245,
2021 MACS,2102012,S002,Visual,,Kolea_30m_Pueo_21,"1,6",0.8107,3. Completed,MA,,,20.364065,145.0330283,05/09/2021 6:04:02,05/09/2021 6:39:40,,,20.43237,145.1042,
2021 MACS,2102050,S008,Visual,,Kolea_30m_Pueo_21,"1,6",0.6764,3. Completed,MA,Double check visual confirmation,,21.05130667,143.33753,05/18/2021 20:23:11,05/18/2021 20:53:48,,,21.11346,143.4007,Double check visual confirmation
2021 MACS,2102080,S018,Visual,,Kolea_30m_Pueo_21,"1,6",0.8868,3. Completed,MA,,,22.95850333,144.0380483,05/23/2021 1:53:02,05/23/2021 4:54:07,,,23.08363,144.2247,
2021 MACS,2102094,S023,Visual,,Kolea_30m_Pueo_21,"1,6",0.8565,3. Completed,MA,,,20.34959667,143.217925,05/24/2021 3:02:50,05/24/2021 3:47:03,,,20.23294,143.2681,
2021 MACS,2102103,S027,Visual,,Kolea_30m_Pueo_21,"1,6",0.8351,3. Completed,MA,,,16.89154167,144.2015667,05/25/2021 22:36:50,05/25/2021 23:20:04,,,16.91253,144.0729,
2021 MACS,2102135,S036,Visual,,Kolea_30m_Pueo_21,"1,6",0.7431,3. Completed,MA,,,11.17397667,143.97751,06/16/2021 7:59:25,06/16/2021 8:44:32,,,11.0799,143.8783,
2021 MACS,2102147,S044,Visual,,Kolea_30m_Pueo_21,"1,6",0.9129,3. Completed,MA,,,15.05218667,147.9055567,06/20/2021 20:00:04,06/20/2021 20:36:41,,,15.12302,147.9802,
2021 MACS,2102193,S061,Visual,,Kolea_30m_Pueo_21,"1,6",0.9367,3. Completed,MA,,,21.45388,147.4291117,06/30/2021 8:28:21,06/30/2021 8:49:10,,,21.49326,147.4634,
2021 MACS,2102253,S076,Visual,,Kolea_30m_Pueo_21,"1,6",0.8925,3. Completed,MA,,,15.03300167,144.2004717,07/12/2021 20:17:36,07/12/2021 21:18:02,,,14.9313,144.2203,
2021 MACS,2102111,S031,Visual,,Kolea_30m_Pueo_21,"1,6",0.6728,3. Completed,MA,,,14.62670333,141.628365,05/27/2021 6:02:03,05/27/2021 6:23:02,,,14.58155,141.5841,Visual species ID was 377.
2023 HICEAS,2303079,N/A,AC,,Iiwi_30m_Moli_23,"1,6",0.6596,5. Not Valid,HIPelagic,Within HI pelagic assessment area,,30.58207667,-174.0087883,08/15/2023 20:08:13,08/15/2023 20:44:38,,,30.60782,-174.118,Not enough signals to localize because a majority of signals used for classification were at bearing angles less than 30 degrees
2023 HICEAS,2303312,N/A,AC,,Iiwi_30m_Moli_23,"1,6",n/a,4. Paused,HIPelagic,End of acoustic detection was outside the NWHI boundary,Changed from NWHIorHIPelagic to HIPelagic because end of acoustic detection is outside boundary (start of detection is within),23.268595,-160.24634,10/31/2023 18:37:00,10/31/2023 19:28:14,,,23.23454,-160.1092,"data gap from 17:15:15 - 19:29:54, so no data to process"
2023 HICEAS,2303362,N/A,AC,,Iiwi_30m_Moli_23,"1,6",0.7962,3. Completed,HIPelagic,Within HI pelagic assessment area,,17.33257,-153.9364933,11/21/2023 23:39:24,11/22/2023 1:17:59,,,16.21467,-154.671,
2023 HICEAS,2303275,N/A,AC,YES,Iiwi_30m_Moli_23,"1,6",0.5902,4. Paused,NWHIorHIPelagic,Not possible to assign to stock with available information at present,,26.48037667,-173.2516517,10/25/2023 20:43:04,10/25/2023 21:22:08,,,26.50046,-173.335,Don't use for localization project because ship was off effort chasing beaked whales.
2023 HICEAS,2401104,N/A,AC - outside 3 nmi,,Numbat_20m_Goanna_23,"1,6",0.6015,3. Completed,HIPelagic,Within HI pelagic assessment area,,24.35015333,-158.060715,11/18/2023 20:32:51,11/18/2023 21:53:10,,,17.62092,-154.023,
