TrackID_1,TrackID_2,TrackID_3,TrackID_4,TrackID_5,TrackID_6,TrackID_7,TrackID_8,TrackID_9,TrackID_10,TrackID_11,Loc_start_time,Loc_end_time,Loc_beam_time,Loc_m_1,Loc_m_2,Loc_m_min_1,Loc_m_min_2,Loc_m_max_1,Loc_m_max_2,Loc_LatLong_1,Loc_LatLong_2,Loc_m_dilated_1,Loc_m_dilated_2,Loc_m_dilated_min_1,Loc_m_dilated_min_2,Loc_m_dilated_max_1,Loc_m_dilated_max_2,Loc_LatLong_dilated_1,Loc_LatLong_dilated_2,distance_m,distance_m_minmax_1,distance_m_minmax_2,distance_m_dilated,distance_m_dilated_minmax_1,distance_m_dilated_minmax_2
6,9,18,,,,,,,,,18-Sep-2017 04:25:58,18-Sep-2017 04:32:38,18-Sep-2017 04:27:53,-10909.5300542817,6063.40513764713,-10927.8899166407,5995.85578195697,-10888.5473544427,6140.60440129303,25.9507798330062,-172.756158051616,-10960.4024315402,6066.86941709074,-10984.007968859,5980.0202454891,-10936.7968942214,6153.71858869237,25.9508111042319,-172.756665721754,2990,2920,3070,2980,2890,3070
4,,,,,,,,,,,18-Sep-2017 04:39:08,18-Sep-2017 04:40:05,14-Jul-1916 00:00:00,-15167.6719755732,5075.6666205588,-15178.1633254926,5037.06698873585,-15157.1806256537,5114.26625238175,25.941863752584,-172.798651279025,-15162.4263006134,5094.96643647027,-15172.9176505329,5056.36680464732,-15151.934950694,5133.56606829322,25.9420379674271,-172.79859893092,920,880,960,940,900,980
10,16,28,45,,,,,,,,18-Sep-2017 04:29:13,18-Sep-2017 04:34:41,18-Sep-2017 04:31:23,-11859.4282437626,6114.33086416013,-11877.7881061217,6046.78150846997,-11841.0683814035,6181.88021985029,25.9512395274145,-172.765637359851,-11877.8866177103,6160.79900842268,-11896.2464800694,6093.24965273252,-11856.9039178714,6237.99827206858,25.9516589842891,-172.765821561293,2790,2720,2860,2830,2760,2910
11,21,32,,,,,,,,,18-Sep-2017 04:29:52,18-Sep-2017 04:33:50,18-Sep-2017 04:31:14,-12297.7376376666,4844.84873541017,-12305.6061501062,4815.89901154296,-12289.8691252269,4873.79845927738,25.9397802144904,-172.770011375818,-12331.9330364935,4833.4174319383,-12339.8015489331,4804.46770807109,-12324.0645240539,4862.36715580551,25.9396770268357,-172.770352621574,1450,1420,1480,1430,1400,1460
13,14,30,54,70,,,,,,,18-Sep-2017 04:30:17,18-Sep-2017 04:37:01,18-Sep-2017 04:34:17,-12894.0001629744,5701.21956683401,-12899.2458379341,5681.91975092254,-12888.7544880146,5720.51938274549,25.9475104700916,-172.775961651678,-12902.8086289664,5745.0648736167,-12908.0543039261,5725.76505770522,-12897.5629540066,5764.36468952817,25.9479062512367,-172.776049553903,2120,2100,2140,2160,2140,2180
15,19,40,59,77,,,,,,,18-Sep-2017 04:31:21,18-Sep-2017 04:37:24,18-Sep-2017 04:35:10,-13144.7007466462,5541.37834140516,-13149.9464216059,5522.07852549368,-13139.4550716865,5560.67815731663,25.9460676214064,-172.778463465171,-13227.8886156269,5387.8212560771,-13233.1342905866,5368.52144016563,-13222.6429406672,5407.12107198857,25.9446814981576,-172.779293620929,1900,1880,1920,1730,1710,1750
27,38,52,66,,,,,,,,18-Sep-2017 04:32:37,18-Sep-2017 04:38:02,18-Sep-2017 04:37:31,-13166.1678175082,8055.00901532458,-13192.3961923069,7958.50993576721,-13137.3166052297,8161.15800283769,25.9687575670272,-172.778677691268,-13320.0737868567,7526.88691523891,-13341.0564866957,7449.68765159301,-13296.4682495379,7613.73608684054,25.9639903345708,-172.780213563363,4320,4220,4430,3770,3690,3860
37,44,64,,,,,,,,,18-Sep-2017 04:33:20,18-Sep-2017 04:39:41,18-Sep-2017 04:37:29,-14002.5040895657,5587.99834651082,-14005.1269270456,5578.34843855508,-13997.258414606,5607.29816242229,25.9464884490926,-172.787023732347,-14009.5311600416,5600.27109194642,-14014.7768350013,5580.97127603495,-14006.9083225617,5609.92099990216,25.9465992322437,-172.787093857512,1720,1710,1740,1730,1710,1740
22,35,48,58,69,73,,,,,,18-Sep-2017 04:32:15,07-Jun-4035 09:08:52,18-Sep-2017 04:36:26,-13651.4461005383,5316.41357458869,-13654.0689380181,5306.76366663295,-13648.8232630584,5326.06348254443,25.9440369180184,-172.783520423337,-13682.078708333,5241.83714842266,-13684.7015458128,5232.18724046692,-13679.4558708531,5251.4870563784,25.9433637343753,-172.783826114972,1550,1540,1560,1470,1460,1480
23,33,46,74,85,94,114,,,,,18-Sep-2017 04:32:23,18-Sep-2017 04:41:44,18-Sep-2017 04:40:09,-14135.6613576666,8453.23291665545,-14151.3983825458,8395.33346892103,-14117.3014953075,8520.78227234561,25.972352239371,-172.788352547163,-14069.1504671175,8621.68558489899,-14116.3615417551,8447.98724169572,-14035.0535798792,8747.13438832357,25.9738728215002,-172.787688815787,4450,4390,4520,4630,4450,4760
29,49,65,97,106,,,,,,,18-Sep-2017 04:32:55,18-Sep-2017 04:40:33,18-Sep-2017 04:37:49,-12329.5893599392,9226.60471535568,-12355.8177347378,9130.10563579831,-12300.7381476606,9332.75370286879,25.9793332824651,-172.770329233349,-12523.9748682154,8854.56402648927,-12547.5804055342,8767.71485488764,-12497.7464934167,8951.06310604665,25.9759749597462,-172.772269062448,5670,5570,5780,5260,5170,5360
39,51,55,72,113,122,,,,,,18-Sep-2017 04:33:50,18-Sep-2017 04:42:43,18-Sep-2017 04:33:50,-11581.8918419196,9728.05104503358,-11618.6115666378,9592.95233365327,-11545.1721172015,9863.1497564139,25.9838597190933,-172.762867743982,-11584.5146793995,9718.40113707785,-11623.8572415975,9573.65251774179,-11542.5492797216,9872.79966436964,25.9837726116717,-172.762893918035,6350,6210,6490,6340,6190,6500
36,107,111,,,,,,,,,18-Sep-2017 04:34:45,18-Sep-2017 04:40:57,18-Sep-2017 04:38:09,-14352.3265902748,5444.73558792491,-14354.9494277547,5435.08567996917,-14352.3265902748,5444.73558792491,25.9451952502804,-172.790514712063,-14362.8179401943,5406.13595610196,-14365.4407776742,5396.48604814622,-14362.8179401943,5406.13595610196,25.9448468205942,-172.790619408273,1490,1480,1490,1450,1440,1450
63,71,84,100,115,,,,,,,18-Sep-2017 04:35:30,18-Sep-2017 04:42:10,18-Sep-2017 04:41:39,-14445.5953889799,8837.99374656656,-14477.0694387383,8722.19485109771,-14416.7441767014,8944.14273407967,25.9758253837746,-172.791445468329,-14431.6397596168,8927.46575564806,-14470.9823218149,8782.717136312,-14389.6743599389,9081.86428293985,25.9766330262981,-172.791306201075,4740,4620,4850,4830,4680,4990
26,43,,,,,,,,,,18-Sep-2017 04:32:33,18-Sep-2017 04:35:08,14-Jul-1916 00:00:00,-11906.3889459684,6665.95998997596,-11937.8629957269,6550.16109450711,-11869.6692212503,6801.05870135628,25.9562189521953,-172.766105994255,-11993.0410943928,6461.53052738934,-12027.137981631,6336.08172396476,-11956.3213696746,6596.62923876966,25.9543736161094,-172.766970721057,3310,3190,3450,3090,2960,3230
81,89,110,121,149,,,,,,,18-Sep-2017 04:38:07,18-Sep-2017 04:45:11,18-Sep-2017 04:42:05,-15018.4124247322,6921.12634281847,-15026.2809371718,6892.17661895126,-15013.1667497725,6940.42615872995,25.9585222781097,-172.797161774881,-15090.1689902411,6733.37385866347,-15098.0375026807,6704.42413479625,-15084.9233152813,6752.67367457494,25.9568274811373,-172.797877854362,2740,2710,2760,2540,2510,2560
87,103,116,127,,,,,,,,18-Sep-2017 04:38:32,18-Sep-2017 04:44:16,18-Sep-2017 04:40:42,-15166.5801611777,5842.21655888071,-15171.8258361374,5822.91674296923,-15163.9573236978,5851.86646683645,25.9487832163687,-172.798640383494,-15166.481649589,5728.199058928,-15169.1044870689,5718.54915097226,-15163.8588121091,5737.84896688373,25.9477540075431,-172.798639400418,1660,1640,1670,1550,1540,1560
82,88,129,132,148,167,,,,,,18-Sep-2017 04:38:07,18-Sep-2017 04:46:52,18-Sep-2017 04:42:54,-14923.5428798479,7765.81549833868,-14936.6570672472,7717.56595855999,-14910.4286924485,7814.06503811736,25.9661470860037,-172.796215044307,-15034.7405191434,7547.33189480033,-15047.8547065427,7499.08235502164,-15021.6263317441,7595.58143457901,25.9641748865335,-172.797324717648,3580,3530,3630,3340,3290,3390
83,86,123,130,142,153,174,184,196,221,233,18-Sep-2017 04:38:11,18-Sep-2017 04:54:28,18-Sep-2017 04:44:23,-15191.5566738175,9372.35482441881,-15199.4251862571,9343.4051005516,-15181.065323898,9410.95445624176,25.9806489339978,-172.798889631323,-15252.9204009955,9337.21947203946,-15266.0345883949,9288.96993226078,-15237.1833761163,9395.11891977389,25.9803317755373,-172.79950199767,5060,5030,5100,5010,4960,5070
90,108,117,125,144,154,179,185,197,214,,18-Sep-2017 04:38:40,18-Sep-2017 04:50:26,18-Sep-2017 04:44:49,-15735.6210088799,7675.65390813655,-15743.4895213196,7646.70418426933,-15727.7524964403,7704.60363200376,25.9653332187956,-172.804319006375,-15778.5263621102,7594.05041149465,-15786.3948745498,7565.10068762744,-15768.0350121908,7632.6500433176,25.9645966034605,-172.80474717128,3280,3250,3310,3190,3160,3230
95,105,118,151,,,,,,,,18-Sep-2017 04:38:51,18-Sep-2017 04:45:10,18-Sep-2017 04:39:07,-13798.6575095909,8206.19363560454,-13824.8858843896,8109.69455604717,-13772.4291347922,8302.69271516191,25.9701222745988,-172.784989488482,-13919.5050568421,7990.33286954606,-13950.9791066005,7874.53397407721,-13888.0310070837,8106.1317650149,25.9681737508581,-172.786195461041,4300,4200,4400,4060,3940,4180
98,109,124,131,138,163,186,210,,,,18-Sep-2017 04:39:44,18-Sep-2017 04:50:14,18-Sep-2017 04:46:08,-16047.4349472981,8206.00479934744,-16060.5491346974,8157.75525956876,-16031.6979224188,8263.90424708187,25.9701205700189,-172.807430687676,-16112.164442331,8005.97956975683,-16130.5243046901,7938.43021406667,-16088.5589050122,8092.82874135846,25.9683149898955,-172.808076641992,3710,3660,3770,3500,3430,3590
119,136,171,194,204,220,222,,,,,18-Sep-2017 04:42:43,18-Sep-2017 04:51:22,18-Sep-2017 04:46:15,-16393.4976337975,7771.56191816195,-16401.3661462371,7742.61219429474,-16383.0062838781,7810.1615499849,25.9661989575673,-172.810884147121,-16382.0663303257,7737.366519335,-16392.5576802452,7698.76688751205,-16368.9521429263,7785.61605911369,25.9658902838437,-172.810770070844,3200,3170,3240,3170,3130,3220
134,190,195,215,229,240,,,,,,18-Sep-2017 04:43:33,18-Sep-2017 04:53:44,18-Sep-2017 04:48:48,-17123.130824224,7679.71744403235,-17128.3764991837,7660.41762812087,-17115.2623117844,7708.66716789956,25.9653698993667,-172.818165367348,-17086.4110995058,7814.81615541267,-17094.2796119454,7785.86643154545,-17078.5425870662,7843.76587927988,25.9665894032685,-172.817798930615,2920,2900,2950,3060,3030,3090
141,,,,,,,,,,,18-Sep-2017 04:43:50,18-Sep-2017 04:52:05,18-Sep-2017 04:48:13,-16836.4534462091,7819.41741158599,-16841.6991211688,7800.11759567451,-16831.2077712493,7838.71722749746,25.9666309377125,-172.815304531039,-16849.5676336084,7771.1678718073,-16854.8133085681,7751.86805589583,-16841.6991211688,7800.11759567451,25.9661954006047,-172.8154354013,3130,3110,3150,3080,3060,3110
135,165,217,,,,,,,,,18-Sep-2017 04:43:54,18-Sep-2017 04:50:54,18-Sep-2017 04:47:24,-16493.2106203668,8472.24538472117,-16519.4389951654,8375.7463051638,-16466.9822455681,8568.74446427854,25.9725238603936,-172.811879211798,-16559.6229993272,8189.77521652493,-16585.8513741259,8093.27613696756,-16533.3946245285,8286.2742960823,25.9699740694388,-172.812541960098,3850,3750,3950,3560,3460,3660
152,209,,,,,,,,,,18-Sep-2017 04:45:31,18-Sep-2017 04:50:12,18-Sep-2017 04:47:43,-17250.3692100849,5724.64445481596,-17250.3692100849,5724.64445481596,-17247.7463726051,5734.29436277169,25.9477219209781,-172.819435115929,-17243.3421396091,5712.37170938035,-17245.9649770889,5702.72180142462,-17240.7193021292,5722.02161733609,25.9476111378271,-172.819364990765,1000,1000,1010,990,980,1000
170,203,218,,,,,,,,,18-Sep-2017 04:46:48,18-Sep-2017 04:50:55,18-Sep-2017 04:47:59,-17451.8803004257,5478.89401133787,-17454.5031379056,5469.24410338213,-17449.2574629458,5488.5439192936,25.9455035902358,-172.821446053269,-17447.4760674297,5456.97135794653,-17450.0989049095,5447.32144999079,-17444.8532299498,5466.62126590226,25.9453056996632,-172.821402102157,710,700,720,690,680,700
139,178,182,212,227,,,,,,,18-Sep-2017 04:43:44,18-Sep-2017 04:52:42,18-Sep-2017 04:52:42,-17575.137288139,9066.83321302173,-17598.7428254578,8979.9840414201,-17551.5317508202,9153.68238462336,25.9778910631537,-172.822676070329,-17603.1470584538,9001.90669481144,-17634.6211082123,8886.10779934259,-17571.6730086954,9117.70559028028,25.9773049869322,-172.822955587913,4140,4050,4230,4070,3950,4190
146,169,213,219,228,234,,,,,,18-Sep-2017 04:44:02,18-Sep-2017 04:53:14,18-Sep-2017 04:50:23,-16915.5244300395,10006.7326105265,-16941.7528048382,9910.23353096911,-16886.673217761,10112.8815980396,25.9863753112334,-172.816093603211,-16811.3538612199,10237.4889595004,-16850.6964234179,10092.7403401644,-16774.6341365017,10372.5876708808,25.9884582938546,-172.815054055035,5220,5120,5330,5470,5320,5610
