TrackID_1,TrackID_2,TrackID_3,TrackID_4,TrackID_5,TrackID_6,Loc_start_time,Loc_end_time,Loc_beam_time,Loc_m_1,Loc_m_2,Loc_m_min_1,Loc_m_min_2,Loc_m_max_1,Loc_m_max_2,Loc_LatLong_1,Loc_LatLong_2,Loc_m_dilated_1,Loc_m_dilated_2,Loc_m_dilated_min_1,Loc_m_dilated_min_2,Loc_m_dilated_max_1,Loc_m_dilated_max_2,Loc_LatLong_dilated_1,Loc_LatLong_dilated_2,distance_m,distance_m_minmax_1,distance_m_minmax_2,distance_m_dilated,distance_m_dilated_minmax_1,distance_m_dilated_minmax_2
4,7,12,16,18,,07-Nov-2017 02:37:42,07-Nov-2017 02:43:38,14-Jul-1916 00:00:00,18072.7867476705,2244.3626928203,18016.8467455872,1970.00760143886,18134.7203214056,2548.11297256404,22.0738472765462,-162.765369120854,18323.8421547451,2774.90127066228,18251.9192949237,2422.15901031472,18397.7628717838,3137.44192713062,22.0786387447232,-162.762937003107,5810,5530,6120,6380,6020,6750
10,11,19,26,43,,07-Nov-2017 02:41:44,15-Sep-4035 05:23:51,07-Nov-2017 02:44:41,17324.5706907089,927.292940641329,17310.585690188,858.70416779597,17340.553548447,1005.68010960746,22.0619523869606,-162.772617519016,17294.6028324499,780.316998829844,17270.6285458428,662.736245380656,17322.5728334916,917.494544520563,22.0606249989489,-162.77290783485,4370,4300,4450,4220,4100,4360
6,8,14,21,38,44,07-Nov-2017 02:37:52,07-Nov-2017 02:50:04,07-Nov-2017 02:48:39,17722.1053524183,-276.39563733037,17712.116066332,-325.387617934198,17732.0946385047,-227.403656726541,22.0510814800046,-162.7687663727,17707.1659020698,-599.933599281179,17697.1766159835,-648.925579885008,17719.1530453734,-541.143222556585,22.0481595023889,-162.768911099726,3270,3220,3320,2950,2900,3010
5,15,27,,,,07-Nov-2017 02:37:42,07-Nov-2017 02:46:06,07-Nov-2017 02:43:13,16752.7387387629,625.45156055301,16716.7773088522,449.080430379227,16792.6958831081,821.419482968324,22.0592263583029,-162.778157183169,16768.9124864665,754.828567340225,16712.9724843832,480.473475958786,16822.8546313326,1019.3852626009,22.0603948045512,-162.778000498797,3960,3780,4160,4090,3810,4360
17,27,,,,,07-Nov-2017 02:43:10,07-Nov-2017 02:46:06,07-Nov-2017 02:43:31,16811.6310478912,1164.55423716066,16737.7103308525,802.013580692334,16899.5367654507,1595.68366647436,22.0640951716691,-162.777586659586,16831.6096200638,1262.53819836832,16731.7167592007,772.618392330037,16943.4896242304,1811.2483811312,22.0649800970102,-162.777393115697,4500,4130,4940,4600,4100,5160
35,41,,,,,07-Nov-2017 02:46:51,07-Nov-2017 02:48:13,07-Nov-2017 02:47:48,17429.3618164668,-2513.00047997883,17415.3768159459,-2581.58925282419,17445.3446742049,-2434.61331101271,22.0308819669522,-162.771602347267,17435.3553881185,-2483.60529161654,17417.3746731632,-2571.79085670343,17453.3361030739,-2395.41972652965,22.0311474445545,-162.7715442841,1020,950,1100,1050,960,1140
9,,,,,,07-Nov-2017 02:45:59,07-Nov-2017 02:49:04,07-Nov-2017 02:48:10,17479.5880944257,-2717.15072122874,17477.5902372084,-2726.9491173495,17481.5859516429,-2707.35232510797,22.0290382190607,-162.7711157765,17481.3950616774,-2758.34216292906,17479.3972044601,-2768.14055904983,17483.3929188947,-2748.54376680829,22.0286662056194,-162.771098271371,830,820,840,790,780,800
32,,,,,,07-Nov-2017 02:50:00,07-Nov-2017 02:52:08,07-Nov-2017 02:50:44,18543.7194895583,-2403.42413024054,18535.7280606893,-2442.61771472361,18551.7109184274,-2364.23054575748,22.0318715869622,-162.76080692523,18545.52645681,-2444.61557194087,18537.535027941,-2483.80915642393,18551.5200284618,-2415.22038357857,22.0314995735209,-162.760789420102,1350,1310,1390,1310,1270,1340
36,,,,,,07-Nov-2017 02:47:08,07-Nov-2017 02:48:55,07-Nov-2017 02:48:29,17609.7286610751,-2529.36511764801,17603.7350894233,-2558.76030601031,17615.7222327269,-2499.96992928571,22.0307341725336,-162.769855030175,17597.7415177715,-2588.1554943726,17591.7479461197,-2617.5506827349,17603.7350894233,-2558.76030601031,22.030203217329,-162.769971156508,1040,1010,1070,980,950,1010
31,42,54,60,71,,07-Nov-2017 02:46:50,07-Nov-2017 02:52:14,07-Nov-2017 02:51:00,18658.5518007699,-1589.96636225145,18650.5603719009,-1629.15994673451,18666.543229639,-1550.77277776839,22.0392181912835,-162.759694478758,18585.2037536279,-1799.53750525651,18577.2123247588,-1838.73108973957,18593.1951824969,-1760.34392077345,22.0373254854475,-162.760405043367,2170,2130,2210,1950,1910,1990
39,49,,,,,07-Nov-2017 02:47:55,07-Nov-2017 02:52:34,07-Nov-2017 02:50:12,18072.4420259339,-2562.47617291744,18070.4441687166,-2572.27456903821,18074.4398831511,-2552.67777679668,22.0304351357166,-162.765372460371,18056.6500581613,-2589.87350406248,18054.652200944,-2599.67190018324,18060.6457725958,-2570.27671182095,22.0301877014191,-162.765525446222,1100,1090,1110,1070,1060,1090
34,40,50,62,,,07-Nov-2017 02:46:49,07-Nov-2017 02:51:24,07-Nov-2017 02:51:24,19212.3270550406,174.979236841469,19160.3827673918,-79.7790622984386,19274.2606287757,478.729516585206,22.0551579947686,-162.754329740193,19087.6073901464,-136.38069184023,19033.6652452803,-400.937387100903,19153.536678316,186.966380145038,22.0523460009718,-162.755537971133,4010,3750,4320,3680,3410,4010
55,58,68,,,,07-Nov-2017 02:49:25,07-Nov-2017 02:52:36,07-Nov-2017 02:50:33,18277.1649370804,-2359.28038149525,18271.1713654286,-2388.67556985755,18285.1563659494,-2320.08679701219,22.0322702636582,-162.763389192091,18298.9504765047,-2302.48786198792,18288.9611904184,-2351.47984259175,18306.9419053738,-2263.29427750486,22.0327831755581,-162.763178143073,1340,1310,1380,1400,1350,1440
52,57,65,73,,,07-Nov-2017 02:49:18,07-Nov-2017 02:54:36,07-Nov-2017 02:49:36,18278.984879174,-1349.28202119422,18268.9955930876,-1398.27400179805,18290.9720224775,-1290.49164446962,22.0413918906317,-162.763371561268,18299.1543413121,-1200.30822216547,18285.1693407913,-1268.89699501083,18311.1414846157,-1141.51784544088,22.0427373219482,-162.763176168118,2330,2280,2390,2480,2410,2540
56,69,72,,,,07-Nov-2017 02:49:27,07-Nov-2017 02:53:16,14-Jul-1916 00:00:00,18089.0105284104,-1279.92968848669,18071.0298134551,-1368.11525357358,18110.9869578003,-1172.14733115827,22.0420182343304,-162.765211951783,18124.9719583211,-1103.55855831291,18100.997671714,-1221.1393117621,18148.9462449283,-985.97780486372,22.0436110999445,-162.764863572782,2360,2270,2470,2540,2420,2660
53,,,,,,07-Nov-2017 02:49:20,07-Nov-2017 02:51:30,07-Nov-2017 02:49:20,18028.9728794889,-2124.97139202089,18018.9835934026,-2173.96337262471,18040.9600227925,-2066.18101529629,22.034386385112,-162.765793570929,18017.1766261509,-2132.77193092439,18007.1873400646,-2181.76391152822,18029.1637694544,-2073.9815541998,22.0343159358827,-162.765907848002,1520,1470,1580,1510,1460,1570
