TrackID_1,TrackID_2,TrackID_3,TrackID_4,Loc_start_time,Loc_end_time,Loc_beam_time,Loc_m_1,Loc_m_2,Loc_m_min_1,Loc_m_min_2,Loc_m_max_1,Loc_m_max_2,Loc_LatLong_1,Loc_LatLong_2,Loc_m_dilated_1,Loc_m_dilated_2,Loc_m_dilated_min_1,Loc_m_dilated_min_2,Loc_m_dilated_max_1,Loc_m_dilated_max_2,Loc_LatLong_dilated_1,Loc_LatLong_dilated_2,distance_m,distance_m_minmax_1,distance_m_minmax_2,distance_m_dilated,distance_m_dilated_minmax_1,distance_m_dilated_minmax_2
4,11,14,16,02-Aug-2017 02:21:16,02-Aug-2017 02:27:28,02-Aug-2017 02:22:58,1106.06739327053,3049.52352977747,1070.59699086309,2989.1757829011,1141.53779567798,3109.87127665384,21.1039470520324,-156.174587225175,1069.08369687187,2966.86636916393,1028.54609412051,2897.89751559094,1114.68849996716,3044.45632943355,21.1032004596137,-156.174943114611,3190,3120,3260,3100,3020,3190
8,12,17,,02-Aug-2017 02:22:16,02-Aug-2017 02:25:51,14-Jul-1916 00:00:00,3644.1360367246,3262.84854264569,3522.52322847051,3055.94198192672,3780.95044601046,3495.61842345453,21.1058738885719,-156.150163711429,3442.89265583941,3137.54450579971,3301.01104620963,2896.15351829425,3605.04306684487,3413.41992009168,21.1047420925697,-156.152100251046,4660,4420,4930,4450,4170,4770
9,13,15,,02-Aug-2017 02:22:50,02-Aug-2017 02:25:50,14-Jul-1916 00:00:00,4921.94114736079,4390.90620927095,4714.18593326005,4037.44083470937,5008.08355320744,4537.46502311355,21.1160629550178,-156.137867554362,4860.60742486348,4345.76006342634,4586.97860629177,3880.22030180866,4961.95143174189,4518.18219735882,21.115655177035,-156.138457761021,6280,5870,6450,6210,5670,6410
