TrackID_1,TrackID_2,TrackID_3,TrackID_4,Loc_start_time,Loc_end_time,Loc_beam_time,Loc_m_1,Loc_m_2,Loc_m_min_1,Loc_m_min_2,Loc_m_max_1,Loc_m_max_2,Loc_LatLong_1,Loc_LatLong_2,Loc_m_dilated_1,Loc_m_dilated_2,Loc_m_dilated_min_1,Loc_m_dilated_min_2,Loc_m_dilated_max_1,Loc_m_dilated_max_2,Loc_LatLong_dilated_1,Loc_LatLong_dilated_2,distance_m,distance_m_minmax_1,distance_m_minmax_2,distance_m_dilated,distance_m_dilated_minmax_1,distance_m_dilated_minmax_2
1,2,,,15-May-2024 16:23:46,15-May-2024 16:25:31,14-Jul-1916 00:00:00,279.60743999289,1148.53316935177,258.773041151424,1081.70557157275,300.441838834355,1215.36076713079,15.0726017660887,-157.164102289153,303.418181525993,1224.90756681351,261.749383843062,1091.25237125547,333.181608442371,1320.37556364069,15.073292043259,-157.163880836596,1180,1110,1250,1260,1120,1360
3,4,5,,15-May-2024 16:30:08,15-May-2024 16:37:49,15-May-2024 16:32:07,-1452.69195504476,5469.9726061543,-1509.24246618588,5288.58341218267,-1393.165101212,5660.90859980865,15.1116592393384,-157.180213594674,-1368.7365880711,5705.6662555306,-1574.10423379411,5046.9370774231,-1267.54093655541,6030.257444743,15.113789455101,-157.179432765118,4790,4600,4990,5040,4350,5380
6,8,9,,15-May-2024 16:44:58,15-May-2024 16:55:29,15-May-2024 16:53:26,-8371.92873854377,5249.37719850862,-8404.66850815178,5144.36240199873,-8342.16531162739,5344.8451953358,15.1096654825453,-157.244566176052,-8512.04187574551,5135.93863018424,-8535.85261727861,5059.5642327225,-8488.2311342124,5212.31302764598,15.1086402167947,-157.245869302732,2520,2410,2620,2370,2290,2450
6,8,9,,15-May-2024 16:44:58,15-May-2024 16:55:29,15-May-2024 16:53:26,-8371.92873854377,5249.37719850862,-8404.66850815178,5144.36240199873,-8342.16531162739,5344.8451953358,15.1096654825453,-157.244566176052,-8512.04187574551,5135.93863018424,-8535.85261727861,5059.5642327225,-8488.2311342124,5212.31302764598,15.1086402167947,-157.245869302732,2520,2410,2620,2370,2290,2450
13,14,20,,15-May-2024 17:10:42,15-May-2024 17:18:57,15-May-2024 17:17:23,-15473.1767388334,8678.35326118139,-15520.7982218996,8525.60446625792,-15422.5789130755,8840.64885578759,15.140656809116,-157.310611558529,-15452.9601115997,8776.79760070021,-15539.2740496572,8499.9404099014,-15375.5752016171,9025.01439245086,15.1415465559731,-157.310423533146,3680,3520,3850,3780,3490,4040
11,15,21,28,15-May-2024 17:07:19,15-May-2024 17:23:08,15-May-2024 17:23:08,-15874.3185381481,15287.2627973184,-16008.2539592718,14857.6568115961,-15805.8626562404,15506.8391900209,15.2003885978386,-157.314342390569,-15857.7512200848,14601.2412787257,-15997.6393265918,14152.541693638,-15711.9104281945,15069.0344631789,15.1941882871544,-157.314188305702,9870,9420,10100,9220,8750,9710
22,25,,,15-May-2024 17:19:23,15-May-2024 17:22:18,14-Jul-1916 00:00:00,-17564.3738051324,8219.99223545799,-17603.0662601237,8095.88383958267,-17519.7286647579,8363.19423069875,15.1365141099615,-157.330060803236,-17547.7512921982,8340.50651703388,-17592.3964325728,8197.30452179312,-17500.129809132,8493.25531195736,15.1376033265056,-157.329906205027,2620,2490,2770,2740,2590,2900
