TrackID_1,TrackID_2,Loc_start_time,Loc_end_time,Loc_beam_time,Loc_m_1,Loc_m_2,Loc_m_min_1,Loc_m_min_2,Loc_m_max_1,Loc_m_max_2,Loc_LatLong_1,Loc_LatLong_2,Loc_m_dilated_1,Loc_m_dilated_2,Loc_m_dilated_min_1,Loc_m_dilated_min_2,Loc_m_dilated_max_1,Loc_m_dilated_max_2,Loc_LatLong_dilated_1,Loc_LatLong_dilated_2,distance_m,distance_m_minmax_1,distance_m_minmax_2,distance_m_dilated,distance_m_dilated_minmax_1,distance_m_dilated_minmax_2
1,3,15-May-2024 00:05:22,15-May-2024 00:12:30,14-Jul-1916 00:00:00,-1529.50132705891,6036.3877370302,-1579.11846574704,5760.81898054935,-1476.34010703591,6331.63997611682,14.4890051704497,-155.041188617037,-1487.76285374222,6211.76703981474,-1586.99713111848,5660.62952685304,-1402.70490170543,6684.17062235334,14.4905903477641,-155.040801538017,5670,5390,5970,5850,5290,6330
4,5,15-May-2024 00:23:40,15-May-2024 00:30:14,14-Jul-1916 00:00:00,-7403.22248256967,7612.173187942,-7493.59655660877,7110.24438149473,-7296.90004252368,8202.67766611525,14.503248010451,-155.095661003072,-7338.44748057635,7915.49512766408,-7483.75481530588,7108.4723408273,-7200.22830851656,8683.15094928931,14.5059896056688,-155.095060285261,6180,5670,6780,6490,5670,7270
6,8,15-May-2024 00:41:51,15-May-2024 00:48:46,15-May-2024 00:46:46,-11366.1175432082,7949.75686403871,-11433.4550885706,7575.77069452898,-11289.9197945085,8372.95174006288,14.5062992826169,-155.13241255185,-11337.7648925292,8107.22472488491,-11445.8593732427,7506.87850540877,-11229.6704118158,8707.57094436105,14.5077225661902,-155.132149611801,5810,5430,6240,5970,5360,6580
9,10,15-May-2024 00:55:09,15-May-2024 00:59:41,15-May-2024 00:57:43,-14929.8885177562,7118.11003937758,-14979.5056564443,6842.54128289673,-14873.1832163983,7433.04576106998,14.4987823883249,-155.165462658099,-14884.6059631047,7313.1728247679,-14976.7520778112,6801.40227701774,-14804.8641330702,7756.05118339784,14.500545476086,-155.165042711572,4360,4080,4680,4560,4040,5010
